CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_7D,COUNT_7D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
1073,1,0.6013805812231071,"Flagged due to: unusual activity in feature 'SMS' (value: 0.0), and new customer tenure (17 days since signup), and unusual activity in feature 'CLIENT_SEX' (value: 0.0).","SMS (+0.1223), TENURE_DAYS (+0.0756), CLIENT_SEX (+0.0735)",,,Transfer,Within_bank,2019-12-06,Fri,14,1,100000.0,F,2019-11-19,1997-10-27,0,2019-11-19,BRANCH,0,SMART_OTP,100000.0,1,100000.0,1,372493.97,303333.3333333333,3,0.0,-1.0821044749450681
1073,1,0.6846733949259349,"Flagged due to: high 7-day transaction volume sum (360,000.00), and unusual customer age profile (22 years old), and significant transaction amount digit deviation from Benford's Law (score: 0.0000).","SUM_AMOUNT_7D (+0.1810), CUSTOMER_AGE (+0.1094), BENFORD_DEV (+0.0645)",,,Transfer,Within_bank,2019-12-10,Tue,14,1,260000.0,F,2019-11-19,1997-10-27,0,2019-11-19,BRANCH,0,SMART_OTP,260000.0,1,360000.0,2,372493.97,303333.3333333333,3,0.0,-1.0821044749450681
1073,1,0.7376191695388798,"Flagged due to: unusual customer age profile (22 years old), and significant transaction amount digit deviation from Benford's Law (score: 0.0000), and high historical average transaction size (303,333.33).","CUSTOMER_AGE (+0.1805), BENFORD_DEV (+0.1162), HIST_AVG_TRANS_AMOUNT (+0.1110)",,"HIST_AVG_TRANS_AMOUNT: 303,333.33 → 166,297.76 (-137,035.58)",Transfer,Outside_bank,2019-12-24,Tue,14,1,550000.0,F,2019-11-19,1997-10-27,0,2019-11-19,BRANCH,0,SMART_OTP,550000.0,1,550000.0,1,372493.97,303333.3333333333,3,0.0,-1.0821044749450681
1134,1,0.5329308870442552,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -1.104), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 158.0), and significant transaction amount digit deviation from Benford's Law (score: 0.1992).","ACTIVITY_SEQ_RARITY (+0.1286), HIST_TRANS_COUNT (+0.0383), BENFORD_DEV (+0.0361)",,"HIST_TRANS_COUNT: 158.00 → 124.21 (-33.79), BENFORD_DEV: 0.20 → 0.17 (-0.03)",Transfer,Within_bank,2019-10-04,Fri,11,1,1100000.0,F,2019-09-25,1998-08-28,0,2019-09-25,BRANCH,1,SMART_OTP,1835000.0,4,3460000.0,10,249832.7925,757183.5443037974,158,0.19922175499751246,-1.1040446270751032
1134,1,0.5405332174779286,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -1.104), and unusual activity in feature 'STAFF' (value: 0.0), and high average savings balance (249,832.79).","ACTIVITY_SEQ_RARITY (+0.1432), STAFF (+0.0395), HIST_AVG_CA_BALANCE (+0.0279)",,ACTIVITY_SEQ_RARITY: -1.10 → -1.12 (-0.01),Transfer,Within_bank,2019-10-05,Sat,5,1,200000.0,F,2019-09-25,1998-08-28,0,2019-09-25,BRANCH,1,SMART_OTP,1300000.0,2,3660000.0,11,249832.7925,757183.5443037974,158,0.19922175499751246,-1.1040446270751032
1134,1,0.56205987515746,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -1.104), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 158.0), and high historical average transaction size (757,183.54).","ACTIVITY_SEQ_RARITY (+0.1381), HIST_TRANS_COUNT (+0.0471), HIST_AVG_TRANS_AMOUNT (+0.0469)",,"ACTIVITY_SEQ_RARITY: -1.10 → -1.13 (-0.03), HIST_TRANS_COUNT: 158.00 → 47.39 (-110.61)",Transfer,Within_bank,2019-10-05,Sat,6,1,300000.0,F,2019-09-25,1998-08-28,0,2019-09-25,BRANCH,1,SMART_OTP,1600000.0,3,3960000.0,12,249832.7925,757183.5443037974,158,0.19922175499751246,-1.1040446270751032
1134,1,0.5788567488989035,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -1.104), and significant transaction amount digit deviation from Benford's Law (score: 0.1992), and high average savings balance (249,832.79).","ACTIVITY_SEQ_RARITY (+0.1477), BENFORD_DEV (+0.0648), HIST_AVG_CA_BALANCE (+0.0365)",,"ACTIVITY_SEQ_RARITY: -1.10 → -1.14 (-0.04), BENFORD_DEV: 0.20 → 0.04 (-0.16)",Transfer,Within_bank,2019-10-05,Sat,12,1,900000.0,F,2019-09-25,1998-08-28,0,2019-09-25,BRANCH,1,SMART_OTP,1400000.0,3,4860000.0,13,249832.7925,757183.5443037974,158,0.19922175499751246,-1.1040446270751032
1134,1,0.590249737324141,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -1.104), and significant transaction amount digit deviation from Benford's Law (score: 0.1992), and high historical average transaction size (757,183.54).","ACTIVITY_SEQ_RARITY (+0.1703), BENFORD_DEV (+0.0474), HIST_AVG_TRANS_AMOUNT (+0.0427)",,"ACTIVITY_SEQ_RARITY: -1.10 → -1.15 (-0.04), BENFORD_DEV: 0.20 → 0.01 (-0.19)",Transfer,Within_bank,2019-10-05,Sat,18,1,1100000.0,F,2019-09-25,1998-08-28,0,2019-09-25,BRANCH,1,SMART_OTP,2500000.0,4,5960000.0,14,249832.7925,757183.5443037974,158,0.19922175499751246,-1.1040446270751032
1134,1,0.6178220720259285,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -1.104), and high 24-hour transaction count (5 transfers), and high historical average transaction size (757,183.54).","ACTIVITY_SEQ_RARITY (+0.1795), COUNT_24H (+0.0583), HIST_AVG_TRANS_AMOUNT (+0.0502)",,ACTIVITY_SEQ_RARITY: -1.10 → -1.16 (-0.05),Transfer,Within_bank,2019-10-06,Sun,3,2,1200000.0,F,2019-09-25,1998-08-28,0,2019-09-25,BRANCH,1,SMART_OTP,3700000.0,5,7160000.0,15,249832.7925,757183.5443037974,158,0.19922175499751246,-1.1040446270751032
1134,1,0.6448612526016149,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -1.104), and high average savings balance (249,832.79), and unusual activity in feature 'VERIFY_METHOD' (value: 0.0).","ACTIVITY_SEQ_RARITY (+0.1770), HIST_AVG_CA_BALANCE (+0.0793), VERIFY_METHOD (+0.0587)",,ACTIVITY_SEQ_RARITY: -1.10 → -1.17 (-0.07),Transfer,Within_bank,2019-10-06,Sun,10,1,800000.0,F,2019-09-25,1998-08-28,0,2019-09-25,BRANCH,1,SMART_OTP,4000000.0,4,7960000.0,16,249832.7925,757183.5443037974,158,0.19922175499751246,-1.1040446270751032
1134,1,0.65524082323819,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -1.104), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 158.0), and high 24-hour transaction count (4 transfers).","ACTIVITY_SEQ_RARITY (+0.1964), HIST_TRANS_COUNT (+0.0833), COUNT_24H (+0.0457)",,ACTIVITY_SEQ_RARITY: -1.10 → -1.18 (-0.08),Transfer,Within_bank,2019-10-06,Sun,15,1,1000000.0,F,2019-09-25,1998-08-28,0,2019-09-25,BRANCH,1,SMART_OTP,4100000.0,4,8960000.0,17,249832.7925,757183.5443037974,158,0.19922175499751246,-1.1040446270751032
