CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
88,1,0.02299940213561058,"Flagged due to: unusual transaction sequence position (transaction number: 6), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 24-hour transaction count (6 transfers).","TRANS_NO (+1.7436), HIST_TRANS_COUNT (+0.4194), COUNT_24H (+0.3826)","TRANS_NO × SUM_AMOUNT_48H (+0.4023), SUM_AMOUNT_1H × SUM_AMOUNT_48H (+0.1710), COUNT_24H × SUM_AMOUNT_48H (-0.1559)",,Transfer,Within_bank,2019-09-03,Tue,16,6,18294000.0,841912,iOS,102.230.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,21004000.0,2,37101000.0,5,55701000.0,6,55701000.0,6,55701000.0,6,55701000.0,6,8844481.102,4369996.853994491,363,0.041666666666666664,6,6.0,LOGIN,0.0,6.0,0.03889746598194539,-1.441169318574772
88,1,0.0076573751866817474,"Flagged due to: high 24-hour transaction count (11 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 7-day transaction count (30 transfers).","COUNT_24H (+0.4835), HIST_TRANS_COUNT (+0.4056), COUNT_7D (+0.2702)","TRANS_NO × SUM_AMOUNT_48H (-0.1403), SUM_AMOUNT_24H × SUM_AMOUNT_48H (+0.1251), SUM_AMOUNT_1H × SUM_AMOUNT_48H (+0.1209)","COUNT_24H: 11.00 -> 6.00 (-5.00), COUNT_7D: 30.00 -> 21.00 (-9.00)",Transfer,Within_bank,2019-09-19,Thu,14,3,9507650.0,681975,iOS,123.199.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,11388650.0,2,32508650.0,4,56131650.0,11,91428650.0,18,116328650.0,30,285029447.0,81,8844481.102,4369996.853994491,363,0.0,10,245.0,LOGIN,0.42857139455782584,126.0,0.03889746598194539,-1.441169318574772
88,1,0.006222222000360489,"Flagged due to: unusual activity in feature 'COUNT_1H' (value: 4.0), and high 24-hour transaction count (11 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","COUNT_1H (+0.6456), COUNT_24H (+0.5085), HIST_TRANS_COUNT (+0.3413)","COUNT_1H × SUM_AMOUNT_48H (+0.1767), TRANS_NO × SUM_AMOUNT_48H (+0.1643), SUM_AMOUNT_1H × SUM_AMOUNT_48H (+0.1632)","COUNT_1H: 4.00 -> 3.00 (-1.00), COUNT_24H: 11.00 -> 8.00 (-3.00)",Transfer,Within_bank,2019-09-19,Thu,15,1,1198000.0,586586,iOS,34.124.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,14234650.0,4,19134650.0,5,50588650.0,11,94274650.0,20,119174650.0,32,287875447.0,83,8844481.102,4369996.853994491,363,0.041666666666666664,9,246.0,LOGIN_FINGER,0.426356556096391,129.0,0.03889746598194539,-1.441169318574772
88,1,0.007194152567535639,"Flagged due to: unusual activity in feature 'COUNT_1H' (value: 4.0), and high 24-hour transaction count (11 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","COUNT_1H (+0.6456), COUNT_24H (+0.5085), HIST_TRANS_COUNT (+0.3413)","COUNT_1H × SUM_AMOUNT_48H (+0.1767), SUM_AMOUNT_1H × SUM_AMOUNT_48H (+0.1658), TRANS_NO × SUM_AMOUNT_48H (+0.1643)","COUNT_1H: 4.00 -> 3.00 (-1.00), COUNT_24H: 11.00 -> 7.00 (-4.00)",Transfer,Outside_bank,2019-09-19,Thu,15,1,1648000.0,422590,iOS,142.74.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,14234650.0,4,19134650.0,5,50588650.0,11,94274650.0,20,119174650.0,32,287875447.0,83,8844481.102,4369996.853994491,363,0.0,10,246.0,LOGIN_FINGER,0.426356556096391,129.0,0.03889746598194539,-1.441169318574772
88,1,0.010564004071056843,"Flagged due to: high 24-hour transaction count (9 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 7-day transaction count (27 transfers).","COUNT_24H (+0.4419), HIST_TRANS_COUNT (+0.4259), COUNT_7D (+0.2591)","SUM_AMOUNT_1H × SUM_AMOUNT_48H (+0.1473), TRANS_NO × SUM_AMOUNT_48H (-0.1390), SUM_AMOUNT_24H × SUM_AMOUNT_48H (+0.1034)",,Transfer,Within_bank,2019-10-02,Wed,16,4,13136000.0,427131,iOS,11.220.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,16136800.0,2,18208000.0,3,90940000.0,9,101131000.0,14,145371000.0,27,506023129.0,137,8844481.102,4369996.853994491,363,0.0,9,173.0,LOGIN,0.4495412637825108,218.0,0.03889746598194539,-1.441169318574772
88,1,0.040829259902238846,"Flagged due to: high 24-hour transaction count (9 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 7-day transaction count (33 transfers).","COUNT_24H (+0.5238), HIST_TRANS_COUNT (+0.4269), COUNT_7D (+0.3129)","SUM_AMOUNT_24H × SUM_AMOUNT_48H (+0.1186), SUM_AMOUNT_48H × COUNT_30D (+0.1067), HIST_AVG_TRANS_AMOUNT × COUNT_3H (+0.0924)",,Transfer,Within_bank,2019-10-03,Thu,11,3,10978956.0,199278,iOS,74.103.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,14478956.0,2,29883956.0,3,55566156.0,9,132751156.0,17,182729156.0,33,543381285.0,143,8844481.102,4369996.853994491,363,0.08333333333333333,8,192.0,LOGIN,0.45132741365807905,226.0,0.03889746598194539,-1.441169318574772
88,1,0.014503810554742813,"Flagged due to: high 24-hour transaction count (9 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 7-day transaction count (33 transfers).","COUNT_24H (+0.5488), HIST_TRANS_COUNT (+0.3625), COUNT_7D (+0.3125)","SUM_AMOUNT_48H × COUNT_30D (+0.1067), SUM_AMOUNT_24H × SUM_AMOUNT_48H (+0.0988), SUM_AMOUNT_1H × COUNT_7D (+0.0907)",,Transfer,Outside_bank,2019-10-03,Thu,11,2,3500000.0,199083,iOS,67.168.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,14478956.0,2,29883956.0,3,55566156.0,9,132751156.0,17,182729156.0,33,543381285.0,143,8844481.102,4369996.853994491,363,0.0,9,192.0,LOGIN,0.45132741365807905,226.0,0.03889746598194539,-1.441169318574772
88,1,0.01936373859643936,"Flagged due to: high 24-hour transaction count (10 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 7-day transaction count (33 transfers).","COUNT_24H (+0.4535), HIST_TRANS_COUNT (+0.4130), COUNT_7D (+0.3129)","SUM_AMOUNT_24H × SUM_AMOUNT_48H (+0.1129), SUM_AMOUNT_48H × COUNT_30D (+0.1067), UNIQUE_BENEFICIARIES_24H × VELOCITY_RATIO_AMOUNT_1H_VS_24H (-0.0933)",,Transfer,Within_bank,2019-10-03,Thu,14,4,6846000.0,537064,iOS,110.157.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,8494000.0,2,22972956.0,4,61988956.0,10,141245156.0,19,185975156.0,33,531145285.0,143,8844481.102,4369996.853994491,363,0.125,9,195.0,LOGIN,0.4517543661511243,228.0,0.03889746598194539,-1.441169318574772
88,1,0.009505029767751694,"Flagged due to: high 24-hour transaction count (10 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 7-day transaction count (33 transfers).","COUNT_24H (+0.5156), HIST_TRANS_COUNT (+0.3625), COUNT_7D (+0.3125)","SUM_AMOUNT_48H × COUNT_30D (+0.1067), UNIQUE_BENEFICIARIES_24H × VELOCITY_RATIO_AMOUNT_1H_VS_24H (-0.0933), SUM_AMOUNT_24H × SUM_AMOUNT_48H (+0.0931)","COUNT_24H: 10.00 -> 6.00 (-4.00), COUNT_7D: 33.00 -> 21.00 (-12.00)",Transfer,Outside_bank,2019-10-03,Thu,14,1,1648000.0,121221,iOS,12.149.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,8494000.0,2,22972956.0,4,61988956.0,10,141245156.0,19,185975156.0,33,531145285.0,143,8844481.102,4369996.853994491,363,0.0,10,195.0,LOGIN,0.4517543661511243,228.0,0.03889746598194539,-1.441169318574772
88,1,0.023069728165864944,"Flagged due to: unusual activity in feature 'COUNT_1H' (value: 3.0), and high 24-hour transaction count (11 transfers), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","COUNT_1H (+0.6514), COUNT_24H (+0.5546), HIST_TRANS_COUNT (+0.3625)","HIST_AVG_TRANS_AMOUNT × COUNT_1H (+0.1558), SUM_AMOUNT_48H × COUNT_30D (+0.1067), SUM_AMOUNT_24H × SUM_AMOUNT_48H (+0.0988)",,Transfer,Outside_bank,2019-10-03,Thu,15,1,1648000.0,141567,iOS,185.86.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,10142000.0,3,10142000.0,3,63636956.0,11,140465156.0,19,182623156.0,33,518826285.0,142,8844481.102,4369996.853994491,363,0.041666666666666664,11,196.0,LOGIN,0.4517543661511243,228.0,0.03889746598194539,-1.441169318574772
88,1,0.010201900266110897,"Flagged due to: unusual transaction sequence position (transaction number: 5), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 7-day transaction count (25 transfers).","TRANS_NO (+1.8234), HIST_TRANS_COUNT (+0.3903), COUNT_7D (+0.2750)","TRANS_NO × SUM_AMOUNT_48H (+0.2567), SUM_AMOUNT_1H × SUM_AMOUNT_48H (+0.1846), TRANS_NO × COUNT_30D (+0.1740)",,Transfer,Within_bank,2019-10-17,Thu,18,5,10876250.0,789190,iOS,185.193.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,11978550.0,2,11978550.0,2,16046550.0,4,21252550.0,7,58761550.0,25,519303990.0,144,8844481.102,4369996.853994491,363,0.0,4,535.0,LOGIN,0.46531790562665015,346.0,0.03889746598194539,-1.441169318574772
88,1,0.08445825427770615,"Flagged due to: unusual transaction sequence position (transaction number: 12), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and high 24-hour transaction count (6 transfers).","TRANS_NO (+2.1175), HIST_TRANS_COUNT (+0.4367), COUNT_24H (+0.3343)","TRANS_NO × SUM_AMOUNT_48H (+0.4741), TRANS_NO × COUNT_30D (+0.1740), COUNT_24H × SUM_AMOUNT_48H (-0.1559)",,Transfer,Within_bank,2019-10-17,Thu,20,12,29488980.0,206154,iOS,180.230.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,35604880.0,2,47583430.0,4,51651430.0,6,56857430.0,9,94366430.0,27,554908870.0,146,8844481.102,4369996.853994491,363,0.08333333333333333,5,537.0,LOGIN,0.46571427240816365,350.0,0.03889746598194539,-1.441169318574772
