CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
44,1,0.8612324595451355,"Flagged due to: long inactivity period (182.3 days since last transaction), and unusual combination of high transaction amount and long inactivity period (combined score: 88.54), and recent security credential modification (0.0 hours ago).","DAYS_SINCE_LAST_TRANS (+2.3536), DAYS_AMOUNT_COMBINED (+1.4971), HOURS_SINCE_SEC_EVENT (+0.5926)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.5283), DAYS_SINCE_LAST_TRANS × DAYS_AMOUNT_COMBINED (+0.3307), DAYS_SINCE_LAST_TRANS × TRANS_LV2 (+0.2290)",,Transfer,Within_bank,2019-12-12,Thu,20,1,23900000.0,479765,Android,30.213.xx.xx (NA),M,2019-04-04,1990-08-08,0,2019-04-04,BRANCH,1,SMART_OTP,Working,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,956799.0944444444,8333333.333333333,3,182.33333333333334,1,0.0,LOGIN_FACEID,0.47619036281181837,42.0,0.0,-1.509743283632709
68,1,0.04820330813527107,"Flagged due to: unusual behavior in feature 'TRANS_HOUR' (value: 0.00), and sudden 7d spending volume spike relative to 30 days (ratio: 71.7%), and transaction amount leading digits deviation from Benford's Law (score: 0.0195).","TRANS_HOUR (+3.4203), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.2410), BENFORD_DEV (+0.0394)","TRANS_HOUR × VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.3673), TRANS_HOUR × BALANCE_COVERAGE_RATIO (+0.3601), TRANS_HOUR × TRANS_LV1 (-0.2980)",,Transfer,Outside_bank,2019-11-17,Sun,0,1,1000000.0,116414,Android,89.173.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,Working,5110000.0,2,8396000.0,3,103476000.0,7,118991000.0,11,139809655.0,21,194961273.0,48,2590897.7536363634,2419415.565217391,253,0.041666666666666664,7,1974.0,LOGIN,0.0,226.0,0.019460279710609454,-1.2412287000063138
107,1,0.0520552396774292,"Flagged due to: transaction amount covers 174.3x monthly average balance, and recent security credential modification (0.0 hours ago), and sudden 7d spending volume spike relative to 30 days (ratio: 100.0%).","BALANCE_COVERAGE_RATIO (+1.6072), HOURS_SINCE_SEC_EVENT (+0.4928), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.3113)","BALANCE_COVERAGE_RATIO × DAYS_AMOUNT_COMBINED (+0.1859), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (+0.1771), SEC_AMOUNT_COMBINED × TRANS_LV1 (+0.1687)","TRANS_AMOUNT: 20,100,000.00 -> 17,338,362.41 (-2,761,637.59)",Transfer,Outside_bank,2019-08-16,Fri,15,1,20100000.0,518858,iOS,115.102.xx.xx (HP),M,2019-08-05,1999-07-24,0,2019-08-06,BRANCH,0,SMART_OTP,Unemployed,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,115295.11000000002,10113000.0,2,10.625,1,0.0,LOGIN,0.0,1.0,0.0,-1.0859987458586398
135,1,0.2178342640399933,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 59.79), and long inactivity period (39.8 days since last transaction), and recent security credential modification (1.0 hours ago).","DAYS_AMOUNT_COMBINED (+1.1010), DAYS_SINCE_LAST_TRANS (+0.6609), HOURS_SINCE_SEC_EVENT (+0.6098)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.3870), HOURS_SINCE_SEC_EVENT × TRANS_LV1 (+0.1961), SEC_AMOUNT_COMBINED × TRANS_LV1 (+0.1936)","TRANS_AMOUNT: 10,000,000.00 -> 73,614.12 (-9,926,385.88)",Transfer,Within_bank,2019-12-16,Mon,9,2,10000000.0,832548,Android,101.166.xx.xx (HCM),M,2019-07-24,1986-10-20,0,2019-07-25,BRANCH,1,SMART_OTP,Working,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,561351.0333333333,10230000.0,10,39.833333333333336,1,1.0,LOGIN,0.4705881430219327,51.0,0.5917514130515289,-1.3626830247620028
143,1,0.049553800374269485,"Flagged due to: transaction amount covers 318.2x monthly average balance, and transaction amount is 5.9x higher than historical average, and recent security credential modification (17.0 hours ago).","BALANCE_COVERAGE_RATIO (+1.5414), TRANS_AMOUNT_Z_SCORE (+0.7120), HOURS_SINCE_SEC_EVENT (+0.4892)","TRANS_AMOUNT_Z_SCORE × TRANS_LV1 (-0.3680), HOURS_SINCE_SEC_EVENT × TRANS_LV1 (+0.1961), HOURS_SINCE_SEC_EVENT × BENFORD_DEV (-0.1845)","TRANS_AMOUNT: 33,000,000.00 -> 21,585,974.69 (-11,414,025.31)",Transfer,Outside_bank,2019-09-11,Wed,12,1,33000000.0,789505,iOS,5.117.xx.xx (HP),F,2019-09-10,1982-12-24,0,2019-09-10,BRANCH,1,SMART_OTP,Working,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,103723.49,5556666.666666667,6,1.5,1,17.0,LOGIN,0.0,3.0,0.7048483079474323,-1.5102239753915914
317,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and unusual combination of high transaction amount and long inactivity period (combined score: 55.63), and unusual behavior in feature 'TRANS_LV1' (value: 0.00).","TRANS_LV2 (+2.7562), DAYS_AMOUNT_COMBINED (+2.1080), TRANS_LV1 (+0.9465)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9743), DAYS_SINCE_LAST_TRANS × TRANS_LV2 (-0.4549), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.4043)",,Payment,Credit_card_repayment,2019-06-26,Wed,11,2,600000.0,NaN,Android,202.161.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,600000.0,1,600000.0,1,600000.0,1,600000.0,1,600000.0,1,600000.0,1,37697.706666666665,2105881.5714285714,7,64.45833333333333,0,1537.0,LOGIN,0.09090900826453795,11.0,1.001997935597524,-1.0845402446682986
317,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and transaction amount covers 69.0x monthly average balance, and unusual combination of high transaction amount and long inactivity period (combined score: 50.16).","TRANS_LV2 (+2.9710), BALANCE_COVERAGE_RATIO (+1.4312), DAYS_AMOUNT_COMBINED (+1.3427)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9389), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.2178), BALANCE_COVERAGE_RATIO × TRANS_LV2 (+0.1833)","TRANS_AMOUNT: 2,600,000.00 -> 192,710.88 (-2,407,289.12)",Payment,Credit_card_repayment,2019-07-25,Thu,7,1,2600000.0,NaN,Android,125.42.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,3200000.0,2,37697.706666666665,2105881.5714285714,7,28.833333333333332,0,2229.0,LOGIN,0.1333332444445037,15.0,1.001997935597524,-1.0845402446682986
317,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and unusual combination of high transaction amount and long inactivity period (combined score: 49.56), and transaction amount covers 47.7x monthly average balance.","TRANS_LV2 (+2.9877), DAYS_AMOUNT_COMBINED (+1.4125), BALANCE_COVERAGE_RATIO (+1.1810)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9389), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.2178), BALANCE_COVERAGE_RATIO × DAYS_AMOUNT_COMBINED (+0.1882)",,Payment,Credit_card_repayment,2019-08-24,Sat,12,1,1800000.0,NaN,Android,58.10.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,1800000.0,1,1800000.0,1,1800000.0,1,1800000.0,1,1800000.0,1,1800000.0,1,37697.706666666665,2105881.5714285714,7,30.208333333333332,0,2954.0,LOGIN,0.12499992187504883,16.0,1.001997935597524,-1.0845402446682986
317,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and unusual combination of high transaction amount and long inactivity period (combined score: 50.86), and transaction amount covers 53.1x monthly average balance.","TRANS_LV2 (+2.8820), DAYS_AMOUNT_COMBINED (+1.3889), BALANCE_COVERAGE_RATIO (+1.3079)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9389), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.2178), HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO (+0.1898)",,Payment,Credit_card_repayment,2019-09-25,Wed,19,1,2000000.0,NaN,Android,79.143.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2000000.0,1,2000000.0,1,2000000.0,1,2000000.0,1,2000000.0,1,2000000.0,1,37697.706666666665,2105881.5714285714,7,32.291666666666664,0,3729.0,LOGIN,0.11111104938275035,18.0,1.001997935597524,-1.0845402446682986
317,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and transaction amount covers 58.1x monthly average balance, and unusual combination of high transaction amount and long inactivity period (combined score: 49.49).","TRANS_LV2 (+2.9216), BALANCE_COVERAGE_RATIO (+1.4865), DAYS_AMOUNT_COMBINED (+1.4111)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9380), HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO (+0.2394), BALANCE_COVERAGE_RATIO × TRANS_LV2 (+0.2332)","TRANS_AMOUNT: 2,191,171.00 -> 192,710.86 (-1,998,460.14)",Payment,Credit_card_repayment,2019-10-24,Thu,11,1,2191171.0,NaN,Android,149.180.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2191171.0,1,2191171.0,1,2191171.0,1,2191171.0,1,2191171.0,1,4191171.0,2,37697.706666666665,2105881.5714285714,7,28.666666666666668,0,4417.0,LOGIN,0.08695648393196351,23.0,1.001997935597524,-1.0845402446682986
