TRANSACTION_ID,CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
1359887,0,1,0.9445103406906128,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 69.94), and sudden 7d spending volume spike relative to 30 days (ratio: 100.0%), and long inactivity period (46.5 days since last transaction).","DAYS_AMOUNT_COMBINED (+3.3846), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.4753), DAYS_SINCE_LAST_TRANS (+0.2553)","TRANS_HOUR × DAYS_AMOUNT_COMBINED (+0.1955), VELOCITY_RATIO_AMOUNT_7D_VS_30D × DAYS_AMOUNT_COMBINED (+0.1155), BALANCE_COVERAGE_RATIO × DAYS_AMOUNT_COMBINED (-0.0808)","TRANS_AMOUNT: 74,000,000.00 -> 45,004,970.55 (-28,995,029.45)",Transfer,Outside_bank,2019-11-29,Fri,19,2,74000000.0,796810,Android,11.210.xx.xx (HCM),F,2019-09-16,1988-10-08,0,2019-09-17,BRANCH,0,SMART_OTP,Working,74000000.0,1,74000000.0,1,74000000.0,1,74000000.0,1,74000000.0,1,74000000.0,1,23214210.2125,24981900.0,10,46.458333333333336,1,1546.0,LOGIN,0.0,7.0,0.5504270894641854,-1.0631228169596971
1318076,9,1,0.9668654203414917,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 64.78), and transaction amount leading digits deviation from Benford's Law (score: 1.4543), and long inactivity period (65.7 days since last transaction).","DAYS_AMOUNT_COMBINED (+2.3594), BENFORD_DEV (+1.7148), DAYS_SINCE_LAST_TRANS (+0.4925)","BENFORD_DEV × DAYS_AMOUNT_COMBINED (+0.3406), BENFORD_DEV × ACTIVITY_SEQ_RARITY (-0.2101), TRANS_HOUR × DAYS_AMOUNT_COMBINED (+0.1935)","TRANS_AMOUNT: 5,000,000.00 -> 813,679.70 (-4,186,320.30)",Transfer,Outside_bank,2019-12-05,Thu,16,1,5000000.0,779387,Android,16.174.xx.xx (HN),M,2019-09-30,1982-04-15,0,2019-10-01,BRANCH,1,SMART_OTP,Working,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,4317108.59,1949162.6666666667,6,65.66666666666667,1,1553.0,LOGIN,0.0,28.0,1.4543448206680314,-0.9328947891681147
1316173,44,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 88.54), and long inactivity period (182.3 days since last transaction), and transaction amount covers 25.0x monthly average balance.","DAYS_AMOUNT_COMBINED (+3.4444), DAYS_SINCE_LAST_TRANS (+0.8597), BALANCE_COVERAGE_RATIO (+0.7428)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.8299), TRANS_HOUR × DAYS_AMOUNT_COMBINED (+0.1800), HOURS_SINCE_SEC_EVENT × ACTIVITY_SEQ_RARITY (+0.1437)","TRANS_AMOUNT: 23,900,000.00 -> 57,939.34 (-23,842,060.66)",Transfer,Within_bank,2019-12-12,Thu,20,1,23900000.0,479765,Android,30.213.xx.xx (NA),M,2019-04-04,1990-08-08,0,2019-04-04,BRANCH,1,SMART_OTP,Working,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,956799.0944444444,8333333.333333333,3,182.33333333333334,1,0.0,LOGIN_FACEID,0.47619036281181837,42.0,0.0,-1.509743283632709
126485,68,1,1.0,"Flagged due to: transaction amount is 20.7x higher than historical average, and transaction amount is 15.2x higher than 30-day average transaction size, and transaction amount covers 19.3x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.1937), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.4635), BALANCE_COVERAGE_RATIO (+1.1088)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.4936), TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO (+0.3906), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3096)","TRANS_AMOUNT: 50,000,000.00 -> 19,735,431.67 (-30,264,568.33)",Transfer,Within_bank,2019-11-16,Sat,11,1,50000000.0,4096,Android,199.67.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,Working,50000000.0,1,50000000.0,1,53562000.0,3,77723655.0,10,86333655.0,15,141865273.0,43,2590897.7536363634,2419415.565217391,253,0.5,3,1961.0,LOGIN,0.0,218.0,0.019460279710609454,-1.2412287000063138
126455,68,1,1.0,"Flagged due to: transaction amount is 15.7x higher than historical average, and transaction amount is 9.1x higher than 30-day average transaction size, and transaction amount covers 14.7x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.1238), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.4707), BALANCE_COVERAGE_RATIO (+1.0598)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.4936), TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO (+0.3906), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2651)","TRANS_AMOUNT: 38,080,000.00 -> 21,204,283.45 (-16,875,716.55)",Transfer,Within_bank,2019-11-16,Sat,14,2,38080000.0,151934,Android,226.135.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,Working,38080000.0,1,88080000.0,2,91642000.0,4,115803655.0,11,124413655.0,16,179565273.0,43,2590897.7536363634,2419415.565217391,253,0.125,4,1964.0,LOGIN,0.0,220.0,0.019460279710609454,-1.2412287000063138
126457,68,1,1.0,"Flagged due to: transaction amount is 16.5x higher than historical average, and transaction amount is 8.4x higher than 30-day average transaction size, and transaction amount covers 15.4x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.0229), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.2370), BALANCE_COVERAGE_RATIO (+1.0489)","TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO (+0.3906), TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3778), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3096)","TRANS_AMOUNT: 40,000,000.00 -> 24,655,342.10 (-15,344,657.90)",Transfer,Outside_bank,2019-11-30,Sat,15,1,40000000.0,513582,Android,199.168.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,Working,40000000.0,1,40000000.0,1,40000000.0,1,40000000.0,1,50966548.0,11,204512495.0,43,2590897.7536363634,2419415.565217391,253,3.75,1,2301.0,LOGIN,0.0,249.0,0.019460279710609454,-1.2412287000063138
941755,88,1,1.0,"Flagged due to: transaction amount is 11.4x higher than historical average, and transaction amount is 13.6x higher than 30-day average transaction size, and transaction amount covers 5.7x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.3981), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.5262), BALANCE_COVERAGE_RATIO (+0.9376)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.5065), TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO (+0.4207), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3481)","TRANS_AMOUNT: 50,000,000.00 -> 35,646,533.97 (-14,353,466.03)",Transfer,Outside_bank,2019-10-02,Wed,8,1,50000000.0,578168,iOS,14.182.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,50000000.0,1,50000000.0,1,77545000.0,7,80773000.0,9,125973222.0,23,485665129.0,132,8844481.102,4369996.853994491,363,0.4583333333333333,7,165.0,LOGIN_FINGER,0.44549760921812276,211.0,0.03889746598194539,-1.441169318574772
941810,88,1,0.8625717759132385,"Flagged due to: transaction amount is 8.6x higher than historical average, and transaction amount is 8.8x higher than 30-day average transaction size, and transaction amount covers 4.2x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+2.5257), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.3395), BALANCE_COVERAGE_RATIO (+0.5321)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3906), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3481), TRANS_AMOUNT_Z_SCORE × DAYS_AMOUNT_COMBINED (+0.1788)","TRANS_AMOUNT: 37,439,000.00 -> 35,646,521.33 (-1,792,478.67)",Transfer,Outside_bank,2019-11-01,Fri,7,1,37439000.0,711016,iOS,50.208.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,37439000.0,1,37439000.0,1,107223580.0,14,114711580.0,18,136814840.0,26,630521972.0,149,8844481.102,4369996.853994491,363,0.375,14,19.0,LOGIN_FINGER,0.4711934059425225,486.0,0.03889746598194539,-1.441169318574772
941638,88,1,0.6992864012718201,"Flagged due to: transaction amount is 8.6x higher than historical average, and transaction amount is 8.0x higher than 30-day average transaction size, and transaction amount covers 4.2x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+2.6154), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.2037), BALANCE_COVERAGE_RATIO (+0.5595)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3906), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3096), TRANS_AMOUNT_Z_SCORE × DAYS_AMOUNT_COMBINED (+0.1749)","TRANS_AMOUNT: 37,510,000.00 -> 35,646,512.35 (-1,863,487.65)",Transfer,Outside_bank,2019-11-06,Wed,9,5,37510000.0,88868,iOS,204.26.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,41798000.0,3,41798000.0,3,73862000.0,8,116977525.0,15,346538455.0,49,699978961.0,150,8844481.102,4369996.853994491,363,0.041666666666666664,7,141.0,LOGIN_FINGER,0.4734917646528014,547.0,0.03889746598194539,-1.441169318574772
941739,88,1,0.9653492569923401,"Flagged due to: transaction amount is 9.6x higher than historical average, and transaction amount is 6.8x higher than 30-day average transaction size, and transaction amount covers 4.7x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+2.6128), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.2699), BALANCE_COVERAGE_RATIO (+0.7855)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3906), TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO (+0.3137), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3080)","TRANS_AMOUNT: 42,000,000.00 -> 35,646,543.50 (-6,353,456.50)",Transfer,Outside_bank,2019-11-27,Wed,8,6,42000000.0,581381,iOS,10.16.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,42000000.0,1,42000000.0,1,45100000.0,4,45100000.0,4,57883900.0,6,470143187.0,76,8844481.102,4369996.853994491,363,0.5416666666666666,4,644.0,LOGIN,0.47791797353441684,634.0,0.03889746598194539,-1.441169318574772
