TRANSACTION_ID,CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_ID_Hash,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY,IP_HOPPING_VELOCITY,PAGERANK_SCORE,IN_DEGREE_CENTRALITY,BUST_OUT_UTILIZATION,STRUCTURING_OVERPAYMENT_FLAG,AUTH_DOWNGRADE_RISK
1316173,44,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 88.54), and unusual combination of high transaction amount shortly after a security credential update (combined score: 0.00), and long inactivity period (182.3 days since last transaction).","DAYS_AMOUNT_COMBINED (+3.3401), SEC_AMOUNT_COMBINED (+0.9197), DAYS_SINCE_LAST_TRANS (+0.6452)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.7335), TRANS_HOUR × DAYS_AMOUNT_COMBINED (+0.2517), HOURS_SINCE_SEC_EVENT × SEC_AMOUNT_COMBINED (+0.1942)","TRANS_AMOUNT: 23,900,000.00 -> 39,066.89 (-23,860,933.11)",Transfer,Within_bank,2019-12-12,Thu,20,1,23900000.0,479765,8e40262350fa0078,Android,30.213.xx.xx (NA),M,2019-04-04,1990-08-08,0,2019-04-04,BRANCH,1,SMART_OTP,Working,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,956799.0944444444,8333333.333333333,3,182.33333333333334,1,0.0,LOGIN_FACEID,0.47619036281181837,42.0,0.0,-1.509743283632709,1,0.7112214308695028,0.0,0.8744,0,0.0
126485,68,1,1.0,"Flagged due to: transaction amount is 20.7x higher than historical average, and transaction amount is 15.2x higher than 30-day average transaction size, and transaction amount covers 19.3x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.8512), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.0933), BALANCE_COVERAGE_RATIO (+1.0080)","TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO (+0.3727), HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (-0.2574), TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2305)","TRANS_AMOUNT: 50,000,000.00 -> 19,252,061.84 (-30,747,938.16)",Transfer,Within_bank,2019-11-16,Sat,11,1,50000000.0,4096,f511fa8d8fb28042,Android,199.67.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,Working,50000000.0,1,50000000.0,1,53562000.0,3,77723655.0,10,86333655.0,15,141865273.0,43,2590897.7536363634,2419415.565217391,253,0.5,3,1961.0,LOGIN,0.0,218.0,0.019460279710609454,-1.2412287000063138,1,0.8480943411107081,6.679006927084327e-05,0.0,0,0.0
126455,68,1,1.0,"Flagged due to: transaction amount is 15.7x higher than historical average, and transaction amount is 9.1x higher than 30-day average transaction size, and transaction amount covers 14.7x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.7614), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.0441), BALANCE_COVERAGE_RATIO (+0.8197)","HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (-0.2574), TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2260), TRANS_AMOUNT_Z_SCORE × DAYS_AMOUNT_COMBINED (+0.2155)","TRANS_AMOUNT: 38,080,000.00 -> 23,309,263.00 (-14,770,737.00)",Transfer,Within_bank,2019-11-16,Sat,14,2,38080000.0,151934,f511fa8d8fb28042,Android,226.135.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,Working,38080000.0,1,88080000.0,2,91642000.0,4,115803655.0,11,124413655.0,16,179565273.0,43,2590897.7536363634,2419415.565217391,253,0.125,4,1964.0,LOGIN,0.0,220.0,0.019460279710609454,-1.2412287000063138,2,0.8480943411107081,6.679006927084327e-05,0.0,0,0.0
126457,68,1,1.0,"Flagged due to: transaction amount is 16.5x higher than historical average, and transaction amount is 8.4x higher than 30-day average transaction size, and transaction amount covers 15.4x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.7561), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.1121), BALANCE_COVERAGE_RATIO (+0.8343)","HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (-0.2574), TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2421), TRANS_AMOUNT_Z_SCORE × DAYS_AMOUNT_COMBINED (+0.1994)","TRANS_AMOUNT: 40,000,000.00 -> 23,309,249.88 (-16,690,750.12)",Transfer,Outside_bank,2019-11-30,Sat,15,1,40000000.0,513582,f511fa8d8fb28042,Android,199.168.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,Working,40000000.0,1,40000000.0,1,40000000.0,1,40000000.0,1,50966548.0,11,204512495.0,43,2590897.7536363634,2419415.565217391,253,3.75,1,2301.0,LOGIN,0.0,249.0,0.019460279710609454,-1.2412287000063138,1,0.8480943411107081,6.679006927084327e-05,0.0,0,0.0
941755,88,1,1.0,"Flagged due to: transaction amount is 11.4x higher than historical average, and transaction amount is 13.6x higher than 30-day average transaction size, and transaction amount covers 5.7x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+4.0532), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.1581), BALANCE_COVERAGE_RATIO (+0.5317)","HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (+0.3480), TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2322), TRANS_AMOUNT_Z_SCORE × DAYS_AMOUNT_COMBINED (+0.2149)","TRANS_AMOUNT: 50,000,000.00 -> 34,773,492.81 (-15,226,507.19)",Transfer,Outside_bank,2019-10-02,Wed,8,1,50000000.0,578168,d1c2a448db82b9e2,iOS,14.182.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,50000000.0,1,50000000.0,1,77545000.0,7,80773000.0,9,125973222.0,23,485665129.0,132,8844481.102,4369996.853994491,363,0.4583333333333333,7,165.0,LOGIN_FINGER,0.44549760921812276,211.0,0.03889746598194539,-1.441169318574772,1,0.7112214308695028,0.0,0.0,0,0.0
941810,88,1,1.0,"Flagged due to: transaction amount is 8.6x higher than historical average, and transaction amount is 8.8x higher than 30-day average transaction size, and transaction amount covers 4.2x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.2195), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.1581), BALANCE_COVERAGE_RATIO (+0.4811)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2322), HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (+0.1877), TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.1842)","TRANS_AMOUNT: 37,439,000.00 -> 34,773,507.84 (-2,665,492.16)",Transfer,Outside_bank,2019-11-01,Fri,7,1,37439000.0,711016,d1c2a448db82b9e2,iOS,50.208.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,37439000.0,1,37439000.0,1,107223580.0,14,114711580.0,18,136814840.0,26,630521972.0,149,8844481.102,4369996.853994491,363,0.375,14,19.0,LOGIN_FINGER,0.4711934059425225,486.0,0.03889746598194539,-1.441169318574772,1,0.7112214308695028,0.0,0.0,0,0.0
941638,88,1,0.9910459518432617,"Flagged due to: transaction amount is 8.6x higher than historical average, and transaction amount is 8.0x higher than 30-day average transaction size, and transaction amount covers 4.2x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.2432), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.1275), BALANCE_COVERAGE_RATIO (+0.4802)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2322), TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2124), HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (+0.2014)","TRANS_AMOUNT: 37,510,000.00 -> 34,773,524.56 (-2,736,475.44)",Transfer,Outside_bank,2019-11-06,Wed,9,5,37510000.0,88868,d1c2a448db82b9e2,iOS,204.26.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,41798000.0,3,41798000.0,3,73862000.0,8,116977525.0,15,346538455.0,49,699978961.0,150,8844481.102,4369996.853994491,363,0.041666666666666664,7,141.0,LOGIN_FINGER,0.4734917646528014,547.0,0.03889746598194539,-1.441169318574772,2,0.7112214308695028,0.0,0.0,0,0.0
941739,88,1,1.0,"Flagged due to: transaction amount is 9.6x higher than historical average, and transaction amount is 6.8x higher than 30-day average transaction size, and transaction amount covers 4.7x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.2368), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.0767), BALANCE_COVERAGE_RATIO (+0.4723)","TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2089), TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2008), HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (+0.1988)","TRANS_AMOUNT: 42,000,000.00 -> 34,773,519.52 (-7,226,480.48)",Transfer,Outside_bank,2019-11-27,Wed,8,6,42000000.0,581381,d1c2a448db82b9e2,iOS,10.16.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,42000000.0,1,42000000.0,1,45100000.0,4,45100000.0,4,57883900.0,6,470143187.0,76,8844481.102,4369996.853994491,363,0.5416666666666666,4,644.0,LOGIN,0.47791797353441684,634.0,0.03889746598194539,-1.441169318574772,1,0.7112214308695028,0.0,0.0,0,0.0
941695,88,1,1.0,"Flagged due to: transaction amount is 9.2x higher than historical average, and transaction amount is 6.5x higher than 30-day average transaction size, and transaction amount covers 4.5x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.1865), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.0789), BALANCE_COVERAGE_RATIO (+0.4761)","TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2248), TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.2008), HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (+0.1988)","TRANS_AMOUNT: 40,000,000.00 -> 34,773,521.42 (-5,226,478.58)",Transfer,Outside_bank,2019-12-03,Tue,8,1,40000000.0,578140,d1c2a448db82b9e2,iOS,238.125.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,40000000.0,1,40000000.0,1,40000000.0,1,40000000.0,1,86216000.0,7,289763377.0,47,8844481.102,4369996.853994491,363,5.041666666666667,1,788.0,LOGIN,0.47846153110059186,650.0,0.03889746598194539,-1.441169318574772,1,0.7112214308695028,0.0,0.0,0,0.0
941864,88,1,1.0,"Flagged due to: transaction amount is 12.9x higher than historical average, and transaction amount is 4.9x higher than 30-day average transaction size, and transaction amount covers 6.4x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.6846), TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.6070), BALANCE_COVERAGE_RATIO (+0.5669)","HIST_BIOMETRIC_RATIO × TRANS_AMOUNT_Z_SCORE (+0.3251), TRANS_HOUR × TRANS_AMOUNT_Z_SCORE (+0.2246), TRANS_AMOUNT_VS_30D_AVG_RATIO × DAYS_AMOUNT_COMBINED (+0.1769)","TRANS_AMOUNT: 56,520,000.00 -> 42,101,626.05 (-14,418,373.95)",Transfer,Outside_bank,2019-12-09,Mon,11,14,56520000.0,483817,d1c2a448db82b9e2,iOS,41.119.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,56520000.0,1,56520000.0,1,56520000.0,1,56520000.0,1,96520000.0,2,171756852.0,15,8844481.102,4369996.853994491,363,6.125,1,935.0,LOGIN_FINGER,0.477929977504871,657.0,0.03889746598194539,-1.441169318574772,1,0.7112214308695028,0.0,0.0,0,0.0
