TRANSACTION_ID,CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_ID_Hash,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY,NEW_DEVICE_FLAG,IP_HOPPING_VELOCITY,PAGERANK_SCORE,IN_DEGREE_CENTRALITY,LIMIT_UTILIZATION_VELOCITY,STRUCTURING_OVERPAYMENT_FLAG,AUTH_DOWNGRADE_RISK
1359882,0,1,0.8533731698989868,"Flagged due to: unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and recent security credential modification (0.0 hours ago), and unusual combination of high transaction amount and long inactivity period (combined score: 43.09).","NEW_DEVICE_FLAG (+1.1482), HOURS_SINCE_SEC_EVENT (+0.8430), DAYS_AMOUNT_COMBINED (+0.6399)","HOURS_SINCE_SEC_EVENT × DAYS_AMOUNT_COMBINED (+0.2875), NEW_DEVICE_FLAG × TRANS_AMOUNT_Z_SCORE (+0.1326), NEW_DEVICE_FLAG × SEC_AMOUNT_COMBINED (+0.1295)","TRANS_AMOUNT: 99,800,000.00 -> 62,721,443.18 (-37,078,556.82)",Transfer,Outside_bank,2019-09-26,Thu,9,1,99800000.0,456015,1eefbf4e4b665aac,Android,95.231.xx.xx (HCM),F,2019-09-16,1988-10-08,0,2019-09-17,BRANCH,0,SMART_OTP,Working,99800000.0,1,99800000.0,1,99800000.0,1,99800000.0,1,99800000.0,1,99800000.0,1,23214210.2125,24981900.0,10,9.375,1,0.0,LOGIN,0.0,0.0,0.0,-1.0631228169596971,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
1318076,9,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 64.78), and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and long inactivity period (65.7 days since last transaction).","DAYS_AMOUNT_COMBINED (+2.7072), NEW_DEVICE_FLAG (+1.5510), DAYS_SINCE_LAST_TRANS (+0.6564)","NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (+0.8857), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (+0.1624), NEW_DEVICE_FLAG × TRANS_AMOUNT_Z_SCORE (+0.1355)","TRANS_AMOUNT: 5,000,000.00 -> 409,832.00 (-4,590,168.00)",Transfer,Outside_bank,2019-12-05,Thu,16,1,5000000.0,779387,32fd628f2a00217c,Android,16.174.xx.xx (HN),M,2019-09-30,1982-04-15,0,2019-10-01,BRANCH,1,SMART_OTP,Working,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,4317108.59,1949162.6666666667,6,65.66666666666667,1,1553.0,LOGIN,0.0,28.0,0.0,-0.9328947891681147,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
1034938,32,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 54.44), and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and long inactivity period (62.3 days since last transaction).","DAYS_AMOUNT_COMBINED (+2.2501), NEW_DEVICE_FLAG (+1.3874), DAYS_SINCE_LAST_TRANS (+0.6831)","NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (+0.6871), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (+0.1624), TRANS_HOUR × NEW_DEVICE_FLAG (+0.1566)","TRANS_AMOUNT: 500,000.00 -> 480,848.31 (-19,151.69)",Transfer,Outside_bank,2019-09-19,Thu,8,1,500000.0,299750,6264de44556cc04a,Android,30.162.xx.xx (HCM),F,2019-07-19,1998-03-17,0,2019-07-19,BRANCH,0,SMART_OTP,Working,500000.0,1,500000.0,1,500000.0,1,500000.0,1,500000.0,1,500000.0,1,1100407.865,704689.0625,32,62.333333333333336,1,1486.0,LOGIN,0.0,25.0,0.0,-1.0701162880210129,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
1316173,44,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 88.54), and long inactivity period (182.3 days since last transaction), and transaction amount covers 25.0x monthly average balance.","DAYS_AMOUNT_COMBINED (+2.1925), DAYS_SINCE_LAST_TRANS (+0.9501), BALANCE_COVERAGE_RATIO (+0.8156)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.6124), NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (-0.4400), HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO (+0.2303)","TRANS_AMOUNT: 23,900,000.00 -> 3,418.92 (-23,896,581.08)",Transfer,Within_bank,2019-12-12,Thu,20,1,23900000.0,479765,8e40262350fa0078,Android,30.213.xx.xx (NA),M,2019-04-04,1990-08-08,0,2019-04-04,BRANCH,1,SMART_OTP,Working,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,956799.0944444444,8333333.333333333,3,182.33333333333334,1,0.0,LOGIN_FACEID,0.47619036281181837,42.0,0.0,-1.509743283632709,0.0,1,0.7112214308695028,0.0,0.0,0,0.0
126484,68,1,0.6238166689872742,"Flagged due to: unusual behavior in feature 'TRANS_HOUR' (value: 0.00), and unusual behavior in feature 'IP_HOPPING_VELOCITY' (value: 3.00), and sudden 7d spending volume spike relative to 30 days (ratio: 71.7%).","TRANS_HOUR (+3.5249), IP_HOPPING_VELOCITY (+0.7846), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.0013)","TRANS_HOUR × IP_HOPPING_VELOCITY (+0.3880), TRANS_HOUR × BALANCE_COVERAGE_RATIO (+0.2763), TRANS_HOUR × VELOCITY_RATIO_AMOUNT_7D_VS_30D (-0.1448)",,Transfer,Outside_bank,2019-11-17,Sun,0,1,1000000.0,116414,f511fa8d8fb28042,Android,89.173.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1,SMART_OTP,Working,5110000.0,2,8396000.0,3,103476000.0,7,118991000.0,11,139809655.0,21,194961273.0,48,2590897.7536363634,2419415.565217391,253,0.041666666666666664,7,1974.0,LOGIN,0.0,226.0,0.019460279710609454,-1.2412287000063138,0.0,3,0.8480943411107081,6.679006927084327e-05,0.0,0,0.0
1392589,107,1,1.0,"Flagged due to: transaction amount covers 174.3x monthly average balance, and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and recent security credential modification (0.0 hours ago).","BALANCE_COVERAGE_RATIO (+2.6416), NEW_DEVICE_FLAG (+1.1603), HOURS_SINCE_SEC_EVENT (+0.7662)","HOURS_SINCE_SEC_EVENT × DAYS_AMOUNT_COMBINED (+0.2875), TRANS_HOUR × BALANCE_COVERAGE_RATIO (+0.2239), NEW_DEVICE_FLAG × SEC_AMOUNT_COMBINED (+0.1295)","TRANS_AMOUNT: 20,100,000.00 -> 1,438,315.77 (-18,661,684.23)",Transfer,Outside_bank,2019-08-16,Fri,15,1,20100000.0,518858,b3068da5612a86f5,iOS,115.102.xx.xx (HP),M,2019-08-05,1999-07-24,0,2019-08-06,BRANCH,0,SMART_OTP,Unemployed,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,115295.11000000002,10113000.0,2,10.625,1,0.0,LOGIN,0.0,1.0,0.0,-1.0859987458586398,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
959039,135,1,1.0,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 58.11), and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and transaction amount covers 26.7x monthly average balance.","DAYS_AMOUNT_COMBINED (+2.4044), NEW_DEVICE_FLAG (+1.2363), BALANCE_COVERAGE_RATIO (+0.6819)","NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (+0.6029), NEW_DEVICE_FLAG × BALANCE_COVERAGE_RATIO (-0.2552), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.1208)","TRANS_AMOUNT: 15,000,000.00 -> 5,047,130.58 (-9,952,869.42)",Transfer,Within_bank,2019-11-06,Wed,12,1,15000000.0,198496,015cf9bef94ff708,Android,252.92.xx.xx (HN),M,2019-07-24,1986-10-20,0,2019-07-25,BRANCH,1,SMART_OTP,Working,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,561351.0333333333,10230000.0,10,32.666666666666664,1,2470.0,LOGIN_FINGER,0.4571427265306495,35.0,0.0,-1.3626830247620028,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
959033,135,1,0.9727367758750916,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 59.79), and transaction amount covers 17.8x monthly average balance, and recent security credential modification (1.0 hours ago).","DAYS_AMOUNT_COMBINED (+1.9368), BALANCE_COVERAGE_RATIO (+0.9178), HOURS_SINCE_SEC_EVENT (+0.7986)","NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (-0.5009), HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO (+0.2309), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.1635)","TRANS_AMOUNT: 10,000,000.00 -> 4,527,168.27 (-5,472,831.73)",Transfer,Within_bank,2019-12-16,Mon,9,2,10000000.0,832548,0dfb3ad3dc59304e,Android,101.166.xx.xx (HCM),M,2019-07-24,1986-10-20,0,2019-07-25,BRANCH,1,SMART_OTP,Working,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,561351.0333333333,10230000.0,10,39.833333333333336,1,1.0,LOGIN,0.4705881430219327,51.0,0.0,-1.3626830247620028,0.0,1,0.7112214308695028,0.0,0.0,0,0.0
449330,141,1,0.769020140171051,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 58.13), and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and sudden 7d spending volume spike relative to 30 days (ratio: 100.0%).","DAYS_AMOUNT_COMBINED (+2.5177), NEW_DEVICE_FLAG (+1.3547), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.3844)","NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED (+0.8857), TRANS_HOUR × DAYS_AMOUNT_COMBINED (+0.0820), TRANS_HOUR × NEW_DEVICE_FLAG (+0.0819)","TRANS_AMOUNT: 20,000,000.00 -> 6,556,453.70 (-13,443,546.30)",Transfer,Outside_bank,2019-05-24,Fri,18,1,20000000.0,553611,f1e1ea24010baf61,iOS,21.188.xx.xx (DN),F,2019-04-22,1994-04-24,1,2019-04-24,BRANCH,1,SMART_OTP,Working,20000000.0,1,20000000.0,1,20000000.0,1,20000000.0,1,20000000.0,1,20000000.0,1,20520353.582222223,33917132.94594595,74,30.75,1,604.0,LOGIN,0.0,15.0,0.2205215966286484,-1.2990063985167104,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
970991,143,1,1.0,"Flagged due to: transaction amount covers 318.2x monthly average balance, and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and recent security credential modification (17.0 hours ago).","BALANCE_COVERAGE_RATIO (+2.9205), NEW_DEVICE_FLAG (+1.0872), HOURS_SINCE_SEC_EVENT (+0.6347)","TRANS_HOUR × BALANCE_COVERAGE_RATIO (+0.2119), HOURS_SINCE_SEC_EVENT × NEW_DEVICE_FLAG (+0.1559), TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO (+0.1496)","TRANS_AMOUNT: 33,000,000.00 -> 3,696,109.77 (-29,303,890.23)",Transfer,Outside_bank,2019-09-11,Wed,12,1,33000000.0,789505,a76aa9fbb10444f9,iOS,5.117.xx.xx (HP),F,2019-09-10,1982-12-24,0,2019-09-10,BRANCH,1,SMART_OTP,Working,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,103723.49,5556666.666666667,6,1.5,1,17.0,LOGIN,0.0,3.0,0.0,-1.5102239753915914,1.0,1,0.7112214308695028,0.0,0.0,0,0.0
