TRANSACTION_ID,CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_ID_Hash,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,BENFORD_DEV,ACTIVITY_SEQ_RARITY,NEW_DEVICE_FLAG,IP_HOPPING_VELOCITY,PAGERANK_SCORE,IN_DEGREE_CENTRALITY,LIMIT_UTILIZATION_VELOCITY,STRUCTURING_OVERPAYMENT_FLAG,AUTH_DOWNGRADE_RISK
1316173,44,1,0.792686939239502,"Flagged due to: long inactivity period (182.3 days since last transaction), and unusual combination of high transaction amount shortly after a security credential update (combined score: 0.00), and transaction amount covers 25.0x monthly average balance.","DAYS_SINCE_LAST_TRANS (+2.9413), SEC_AMOUNT_COMBINED (+1.0782), BALANCE_COVERAGE_RATIO (+0.7140)","DAYS_SINCE_LAST_TRANS × SEC_AMOUNT_COMBINED (+0.7210), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.3139), DAYS_SINCE_LAST_TRANS × NIGHT_ANOMALY (+0.1834)","TRANS_AMOUNT: 23,900,000.00 -> 7,696,404.65 (-16,203,595.35)",Transfer,Within_bank,2019-12-12,Thu,20,1,23900000.0,479765,8e40262350fa0078,Android,30.213.xx.xx (NA),M,2019-04-04,1990-08-08,0,2019-04-04,BRANCH,1.0,SMART_OTP,Working,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,956799.0944444444,8333333.333333333,3,182.33333333333334,1,0.0,0.0,-1.509743283632709,0.0,0.0,0.0,0.0,0.0,0,0.0
126374,68,1,1.0,"Flagged due to: night transaction anomaly (rare off-hour transfer relative to customer's history, score: 1.00), and sudden 1h spending volume/frequency spike relative to 24 hours (spike factor: 0.64), and transaction amount is 1.7x higher than historical average.","NIGHT_ANOMALY (+4.2433), SPIKE_1H_VS_24H (+0.3737), TRANS_AMOUNT_Z_SCORE (+0.3178)","TRANS_AMOUNT_Z_SCORE × NIGHT_ANOMALY (+0.8042), BALANCE_COVERAGE_RATIO × NIGHT_ANOMALY (+0.2026), TRANS_AMOUNT_Z_SCORE × SPIKE_1H_VS_24H (+0.1050)",,Transfer,Outside_bank,2019-08-20,Tue,5,1,4000000.0,311584,f511fa8d8fb28042,Android,253.170.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1.0,SMART_OTP,Working,4000000.0,1,4000000.0,1,16878000.0,6,18785000.0,12,68793600.0,27,88772802.0,52,2590897.7536363634,2419415.565217391,253,0.375,5,99.0,0.019460279710609454,-1.2412287000063138,0.0,0.0,0.0,0.0,0.0,0,0.0
126485,68,1,1.0,"Flagged due to: transaction amount is 20.7x higher than historical average, and transaction amount is 15.2x higher than 30-day average transaction size, and transaction amount covers 19.3x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.7009), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.8402), BALANCE_COVERAGE_RATIO (+0.8979)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.8720), TRANS_AMOUNT_Z_SCORE × NIGHT_ANOMALY (+0.3849), TRANS_AMOUNT_VS_30D_AVG_RATIO × NIGHT_ANOMALY (+0.2010)","TRANS_AMOUNT: 50,000,000.00 -> 23,660,707.47 (-26,339,292.53)",Transfer,Within_bank,2019-11-16,Sat,11,1,50000000.0,4096,f511fa8d8fb28042,Android,199.67.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1.0,SMART_OTP,Working,50000000.0,1,50000000.0,1,53562000.0,3,77723655.0,10,86333655.0,15,141865273.0,43,2590897.7536363634,2419415.565217391,253,0.5,3,1961.0,0.019460279710609454,-1.2412287000063138,0.0,0.0,0.0,0.0,0.0,0,0.0
126455,68,1,1.0,"Flagged due to: transaction amount is 15.7x higher than historical average, and transaction amount is 9.1x higher than 30-day average transaction size, and transaction amount covers 14.7x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.5495), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.4564), BALANCE_COVERAGE_RATIO (+0.8322)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.7068), TRANS_AMOUNT_Z_SCORE × NIGHT_ANOMALY (+0.3804), TRANS_AMOUNT_VS_30D_AVG_RATIO × NIGHT_ANOMALY (+0.1951)","TRANS_AMOUNT: 38,080,000.00 -> 23,660,692.14 (-14,419,307.86)",Transfer,Within_bank,2019-11-16,Sat,14,2,38080000.0,151934,f511fa8d8fb28042,Android,226.135.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1.0,SMART_OTP,Working,38080000.0,1,88080000.0,2,91642000.0,4,115803655.0,11,124413655.0,16,179565273.0,43,2590897.7536363634,2419415.565217391,253,0.125,4,1964.0,0.019460279710609454,-1.2412287000063138,0.0,0.0,0.0,0.0,0.0,0,0.0
126484,68,1,1.0,"Flagged due to: night transaction anomaly (rare off-hour transfer relative to customer's history, score: 1.00), and sudden 1h spending volume/frequency spike relative to 24 hours (spike factor: 0.68).","NIGHT_ANOMALY (+4.3634), SPIKE_1H_VS_24H (+1.0521), ACTIVITY_SEQ_RARITY (+0.0000)","SPIKE_1H_VS_24H × NIGHT_ANOMALY (+1.1419), BALANCE_COVERAGE_RATIO × NIGHT_ANOMALY (+0.1528), TRANS_AMOUNT_Z_SCORE × NIGHT_ANOMALY (+0.0622)",,Transfer,Outside_bank,2019-11-17,Sun,0,1,1000000.0,116414,f511fa8d8fb28042,Android,89.173.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1.0,SMART_OTP,Working,5110000.0,2,8396000.0,3,103476000.0,7,118991000.0,11,139809655.0,21,194961273.0,48,2590897.7536363634,2419415.565217391,253,0.041666666666666664,7,1974.0,0.019460279710609454,-1.2412287000063138,0.0,0.0,0.0,0.0,0.0,0,0.0
126457,68,1,1.0,"Flagged due to: transaction amount is 16.5x higher than historical average, and transaction amount is 8.4x higher than 30-day average transaction size, and transaction amount covers 15.4x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.6146), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.3973), BALANCE_COVERAGE_RATIO (+0.8044)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.7020), TRANS_AMOUNT_Z_SCORE × NIGHT_ANOMALY (+0.3815), TRANS_AMOUNT_VS_30D_AVG_RATIO × NIGHT_ANOMALY (+0.1951)","TRANS_AMOUNT: 40,000,000.00 -> 28,757,209.78 (-11,242,790.22)",Transfer,Outside_bank,2019-11-30,Sat,15,1,40000000.0,513582,f511fa8d8fb28042,Android,199.168.xx.xx (HN),F,2019-02-28,1990-05-20,0,2019-02-28,BRANCH,1.0,SMART_OTP,Working,40000000.0,1,40000000.0,1,40000000.0,1,40000000.0,1,50966548.0,11,204512495.0,43,2590897.7536363634,2419415.565217391,253,3.75,1,2301.0,0.019460279710609454,-1.2412287000063138,0.0,0.0,0.0,0.0,0.0,0,0.0
941755,88,1,1.0,"Flagged due to: transaction amount is 11.4x higher than historical average, and transaction amount is 13.6x higher than 30-day average transaction size, and transaction amount covers 5.7x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+3.5969), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.9037), BALANCE_COVERAGE_RATIO (+0.5861)","TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.8376), TRANS_AMOUNT_Z_SCORE × NIGHT_ANOMALY (+0.3741), TRANS_AMOUNT_VS_30D_AVG_RATIO × NIGHT_ANOMALY (+0.2118)","TRANS_AMOUNT: 50,000,000.00 -> 35,794,734.95 (-14,205,265.05)",Transfer,Outside_bank,2019-10-02,Wed,8,1,50000000.0,578168,d1c2a448db82b9e2,iOS,14.182.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1.0,SMART_OTP,Commercial associate,50000000.0,1,50000000.0,1,77545000.0,7,80773000.0,9,125973222.0,23,485665129.0,132,8844481.102,4369996.853994491,363,0.4583333333333333,7,165.0,0.03889746598194539,-1.441169318574772,0.0,0.0,0.0,0.0,0.0,0,0.0
941810,88,1,0.6486969590187073,"Flagged due to: transaction amount is 8.6x higher than historical average, and transaction amount is 8.8x higher than 30-day average transaction size, and transaction amount covers 4.2x monthly average balance.","TRANS_AMOUNT_Z_SCORE (+2.2140), TRANS_AMOUNT_VS_30D_AVG_RATIO (+1.2177), BALANCE_COVERAGE_RATIO (+0.5030)","TRANS_AMOUNT_Z_SCORE × NIGHT_ANOMALY (+0.3499), TRANS_AMOUNT_VS_30D_AVG_RATIO × NIGHT_ANOMALY (+0.1972), TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.1834)","TRANS_AMOUNT: 37,439,000.00 -> 35,794,731.17 (-1,644,268.83)",Transfer,Outside_bank,2019-11-01,Fri,7,1,37439000.0,711016,d1c2a448db82b9e2,iOS,50.208.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1.0,SMART_OTP,Commercial associate,37439000.0,1,37439000.0,1,107223580.0,14,114711580.0,18,136814840.0,26,630521972.0,149,8844481.102,4369996.853994491,363,0.375,14,19.0,0.03889746598194539,-1.441169318574772,0.0,0.0,0.0,0.0,0.0,0,0.0
1392589,107,1,0.7806218266487122,"Flagged due to: transaction amount covers 174.3x monthly average balance, and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and unusual combination of high transaction amount shortly after a security credential update (combined score: 0.00).","BALANCE_COVERAGE_RATIO (+2.4133), NEW_DEVICE_FLAG (+1.5533), SEC_AMOUNT_COMBINED (+0.8574)","BALANCE_COVERAGE_RATIO × SEC_AMOUNT_COMBINED (+0.3840), NEW_DEVICE_FLAG × NIGHT_ANOMALY (+0.2238), BALANCE_COVERAGE_RATIO × NIGHT_ANOMALY (+0.2185)","TRANS_AMOUNT: 20,100,000.00 -> 9,707,280.06 (-10,392,719.94)",Transfer,Outside_bank,2019-08-16,Fri,15,1,20100000.0,518858,b3068da5612a86f5,iOS,115.102.xx.xx (HP),M,2019-08-05,1999-07-24,0,2019-08-06,BRANCH,0.0,SMART_OTP,Unemployed,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,20100000.0,1,115295.11000000002,10113000.0,2,10.625,1,0.0,0.0,-1.0859987458586398,1.0,0.0,0.0,0.0,0.0,0,0.0
970991,143,1,0.844962477684021,"Flagged due to: transaction amount covers 318.2x monthly average balance, and unusual behavior in feature 'NEW_DEVICE_FLAG' (value: 1.00), and transaction amount is 5.9x higher than historical average.","BALANCE_COVERAGE_RATIO (+3.0579), NEW_DEVICE_FLAG (+1.3083), TRANS_AMOUNT_Z_SCORE (+0.5082)","NEW_DEVICE_FLAG × TRANS_AMOUNT_Z_SCORE (-0.4027), BALANCE_COVERAGE_RATIO × NIGHT_ANOMALY (+0.2185), NEW_DEVICE_FLAG × NIGHT_ANOMALY (+0.1957)","TRANS_AMOUNT: 33,000,000.00 -> 23,107,830.05 (-9,892,169.95)",Transfer,Outside_bank,2019-09-11,Wed,12,1,33000000.0,789505,a76aa9fbb10444f9,iOS,5.117.xx.xx (HP),F,2019-09-10,1982-12-24,0,2019-09-10,BRANCH,1.0,SMART_OTP,Working,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,33000000.0,1,103723.49,5556666.666666667,6,1.5,1,17.0,0.0,-1.5102239753915914,1.0,0.0,0.0,0.0,0.0,0,0.0
