Feature,Times_in_Top_SHAP,Average_Abs_SHAP_Value,Percentage_of_Anomalies
TRANS_AMOUNT_Z_SCORE,87,3.0150310344827593,71.900826446281
BALANCE_COVERAGE_RATIO,80,1.0200474999999998,66.11570247933885
TRANS_AMOUNT_VS_30D_AVG_RATIO,64,0.8528281250000002,52.892561983471076
DAYS_AMOUNT_COMBINED,24,2.171225,19.834710743801654
TRANS_HOUR,24,3.9203083333333333,19.834710743801654
VELOCITY_RATIO_AMOUNT_7D_VS_30D,23,0.5312826086956522,19.00826446280992
HOURS_SINCE_SEC_EVENT,15,0.6128733333333333,12.396694214876034
SEC_AMOUNT_COMBINED,13,0.7265769230769231,10.743801652892563
HIST_BIOMETRIC_RATIO,13,0.24747692307692304,10.743801652892563
DAYS_SINCE_LAST_TRANS,7,0.7028714285714287,5.785123966942149
BENFORD_DEV,6,0.4789833333333333,4.958677685950414
VELOCITY_RATIO_AMOUNT_24H_VS_7D,4,0.21385,3.3057851239669422
ACTIVITY_SEQ_RARITY,2,0.7036,1.6528925619834711
VELOCITY_RATIO_COUNT_7D_VS_30D,1,0.1062,0.8264462809917356
