CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,TRANS_LV1,TRANS_LV2,ts_dt,IS_STRUCTURED_AMT,STRUCTURING_24H_COUNT,IS_STRUCTURING_ALERT,UNIQUE_BENEFICIARIES_24H,SUM_AMOUNT_24H,IS_MULE_ALERT,risk_score
28228,2019-08-28,19,90000000.0,142651,Transfer,Outside_bank,2019-08-28 19:00:00,1,2.0,1,3,181000000.0,1,4.0
62461,2019-09-12,20,3500000.0,289860,Transfer,Outside_bank,2019-09-12 20:00:00,0,2.0,1,16,447109578.0,1,4.0
7012,2019-09-07,19,200000.0,136510,Transfer,Within_bank,2019-09-07 19:00:00,0,2.0,1,3,143765900.0,1,4.0
7012,2019-09-07,20,6403000.0,524108,Transfer,Outside_bank,2019-09-07 20:00:00,0,2.0,1,4,150168900.0,1,4.0
7012,2019-09-08,9,2685000.0,758123,Transfer,Outside_bank,2019-09-08 09:00:00,0,2.0,1,5,152853900.0,1,4.0
72411,2019-12-16,12,4490000.0,494377,Transfer,Outside_bank,2019-12-16 12:00:00,0,2.0,1,7,217971704.0,1,4.0
150875,2019-12-18,20,20000000.0,522115,Transfer,Outside_bank,2019-12-18 20:00:00,0,2.0,1,4,309414000.0,1,4.0
131188,2019-10-28,17,197000000.0,953849,Transfer,Outside_bank,2019-10-28 17:00:00,1,2.0,1,3,444000000.0,1,4.0
62461,2019-09-13,9,46920000.0,845973,Transfer,Outside_bank,2019-09-13 09:00:00,1,2.0,1,14,338309578.0,1,4.0
62461,2019-09-13,10,23480000.0,736724,Transfer,Outside_bank,2019-09-13 10:00:00,0,2.0,1,15,361789578.0,1,4.0
62461,2019-09-13,13,172000000.0,555112,Transfer,Outside_bank,2019-09-13 13:00:00,0,2.0,1,14,451769578.0,1,4.0
62461,2019-09-13,14,750000.0,785152,Transfer,Outside_bank,2019-09-13 14:00:00,0,2.0,1,15,451519578.0,1,4.0
449930,2019-06-06,0,10000000.0,591693,Transfer,Outside_bank,2019-06-06 00:00:00,0,2.0,1,7,518255000.0,1,4.0
427722,2019-12-15,8,46000000.0,370089,Transfer,Outside_bank,2019-12-15 08:00:00,1,2.0,1,12,318504000.0,1,4.0
208370,2019-10-26,18,48850000.0,12453,Transfer,Outside_bank,2019-10-26 18:00:00,1,2.0,1,15,241825000.0,1,4.0
208370,2019-10-27,8,22430000.0,169676,Transfer,Outside_bank,2019-10-27 08:00:00,0,2.0,1,12,208755000.0,1,4.0
16120,2019-11-05,8,10000000.0,706685,Transfer,Outside_bank,2019-11-05 08:00:00,0,2.0,1,3,147750000.0,1,4.0
208370,2019-10-27,9,16163000.0,411162,Transfer,Outside_bank,2019-10-27 09:00:00,0,2.0,1,12,209728000.0,1,4.0
208370,2019-10-27,10,650000.0,918178,Transfer,Outside_bank,2019-10-27 10:00:00,0,2.0,1,12,192198000.0,1,4.0
208370,2019-10-27,13,10600000.0,88983,Transfer,Outside_bank,2019-10-27 13:00:00,0,2.0,1,9,165208000.0,1,4.0
