CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,TRANS_LV1,TRANS_LV2,IB_REGISTER_DATE,CLIENT_CREATE_DATE,HIST_AVG_CA_BALANCE,ts_dt,BALANCE_COVERAGE_RATIO,DAYS_SINCE_LAST_TRANS,DAYS_SINCE_REG,cum_total_count,IS_DORMANT_WAKEUP,IS_LATE_NIGHT,cum_night_count,cum_night_ratio,IS_ANOMALOUS_TIME_ALERT,risk_score
850194,2019-11-23,0,22000000.0,Payment,Credit_card_repayment,2019-02-21,2019-02-21,449907.3357142857,2019-11-23 00:00:00,48.898958192320165,93.375,275.0,4,1,1,0,0.0,1,5.0
715901,2019-09-18,0,45000000.0,Transfer,Outside_bank,2019-04-16,2019-04-05,3455718.228888889,2019-09-18 00:00:00,13.021895021324859,100.33333333333333,155.0,8,1,1,0,0.0,1,5.0
735379,2019-08-09,2,48000000.0,Transfer,Outside_bank,2019-02-20,2019-02-20,15841984.502727272,2019-08-09 02:00:00,3.0299234285771632,91.41666666666667,170.08333333333334,3,1,1,0,0.0,1,4.302992342857716
103927,2019-12-21,4,200000000.0,Transfer,Within_bank,2019-05-20,2019-05-20,173437907.86375,2019-12-21 04:00:00,1.1531504413504872,165.41666666666666,215.16666666666666,9,1,1,0,0.0,1,4.115315044135048
479073,2019-10-29,9,492269716.0,Transfer,Outside_bank,2019-04-25,2019-04-25,351479.27222222224,2019-10-29 09:00:00,1400.5654241674813,187.375,187.375,0,1,0,0,0.0,0,3.0
97246,2019-09-28,5,31500000.0,Transfer,Outside_bank,2019-05-02,2019-05-02,1921725.48375,2019-09-28 05:00:00,16.39151911456567,0.5833333333333334,149.20833333333334,39,0,1,0,0.0,1,3.0
251215,2019-12-13,11,49000000.0,Transfer,Within_bank,2019-06-13,2019-03-13,235713.377,2019-12-13 11:00:00,207.87958927728232,183.45833333333334,183.45833333333334,0,1,0,0,0.0,0,3.0
867217,2019-12-24,9,250000000.0,Transfer,Outside_bank,2019-03-18,2019-03-18,923440.075,2019-12-24 09:00:00,270.72682544916927,281.375,281.375,0,1,0,0,0.0,0,3.0
867243,2019-10-24,16,17080000.0,Payment,Credit_card_repayment,2019-01-24,2019-01-24,13537.27,2019-10-24 16:00:00,1261.701952268292,273.6666666666667,273.6666666666667,0,1,0,0,0.0,0,3.0
505229,2019-07-26,10,203500000.0,Transfer,Outside_bank,2019-02-18,2019-02-18,2484013.8063636366,2019-07-26 10:00:00,81.92386027720421,158.41666666666666,158.41666666666666,0,1,0,0,0.0,0,3.0
398587,2019-12-01,1,6850000.0,Transfer,Outside_bank,2019-10-28,2019-10-28,479013.995,2019-12-01 01:00:00,14.300208493609874,10.416666666666666,34.041666666666664,5,0,1,0,0.0,1,3.0
456682,2019-12-20,20,20000000.0,Transfer,Outside_bank,2019-05-13,2019-05-13,401674.18125,2019-12-20 20:00:00,49.79159959264143,221.83333333333334,221.83333333333334,0,1,0,0,0.0,0,3.0
868065,2019-09-19,0,29205366.0,Payment,Credit_card_repayment,2019-03-08,2019-03-07,1996213.0560000003,2019-09-19 00:00:00,14.630385224699026,9.166666666666666,195.0,22,0,1,1,0.04545452479339782,1,3.0
183881,2019-09-27,13,21000000.0,Transfer,Outside_bank,2019-05-27,2019-05-27,275659.16875,2019-09-27 13:00:00,76.1810321581701,90.75,123.54166666666667,6,1,0,1,0.16666638888935187,0,3.0
496083,2019-12-03,16,23512000.0,Payment,Credit_card_repayment,2019-05-13,2019-05-06,0.0,2019-12-03 16:00:00,2351200000000.0,204.66666666666666,204.66666666666666,0,1,0,0,0.0,0,3.0
408964,2019-10-29,0,100000000.0,Transfer,Outside_bank,2019-09-20,2019-02-13,7992310.011818182,2019-10-29 00:00:00,12.512027167615555,0.4583333333333333,39.0,26,0,1,0,0.0,1,3.0
39035,2019-08-29,9,46350000.0,Transfer,Outside_bank,2019-03-18,2019-03-18,1357279.052,2019-08-29 09:00:00,34.14920456582609,164.375,164.375,0,1,0,0,0.0,0,3.0
868278,2019-11-05,3,23000000.0,Transfer,Outside_bank,2019-06-18,2019-06-18,931016.4385714286,2019-11-05 03:00:00,24.704182490101513,0.5416666666666666,140.125,82,0,1,1,0.012195120464009699,1,3.0
870320,2019-08-17,10,50000000.0,Transfer,Outside_bank,2019-04-25,2019-04-25,3611609.7966666664,2019-08-17 10:00:00,13.844241990374773,114.41666666666667,114.41666666666667,0,1,0,0,0.0,0,3.0
873547,2019-09-19,1,41000000.0,Transfer,Outside_bank,2019-03-13,2019-03-12,1553291.537,2019-09-19 01:00:00,26.395560024052358,5.125,190.04166666666666,3,0,1,0,0.0,1,3.0
202829,2019-09-27,1,50000000.0,Transfer,Outside_bank,2019-09-16,2019-09-16,98853.225,2019-09-27 01:00:00,505.80039239935763,0.5416666666666666,11.041666666666666,4,0,1,0,0.0,1,3.0
432856,2019-11-15,13,17000000.0,Transfer,Outside_bank,2019-01-21,2019-01-21,243123.95,2019-11-15 13:00:00,69.92318115636394,100.08333333333333,298.5416666666667,27,1,0,0,0.0,0,3.0
485474,2019-12-10,17,13700000.0,Transfer,Outside_bank,2019-08-15,2019-08-15,438894.622,2019-12-10 17:00:00,31.21478212072476,117.70833333333333,117.70833333333333,0,1,0,0,0.0,0,3.0
238235,2019-10-11,8,50000000.0,Transfer,Outside_bank,2019-03-19,2019-03-19,4022021.468,2019-10-11 08:00:00,12.431559701430137,161.0,206.33333333333334,4,1,0,0,0.0,0,3.0
325485,2019-09-10,15,12500000.0,Transfer,Outside_bank,2019-06-07,2019-06-07,307408.79000000004,2019-09-10 15:00:00,40.662467717964,95.625,95.625,0,1,0,0,0.0,0,3.0
325485,2019-12-16,14,30000000.0,Transfer,Outside_bank,2019-06-07,2019-06-07,307408.79000000004,2019-12-16 14:00:00,97.58992252311359,96.95833333333333,192.58333333333334,1,1,0,0,0.0,0,3.0
53531,2019-03-20,5,14000000.0,Transfer,Outside_bank,2019-02-28,2019-02-28,887510.3636363636,2019-03-20 05:00:00,15.774463683421757,0.4583333333333333,20.208333333333332,23,0,1,0,0.0,1,3.0
874771,2019-09-30,11,23088932.0,Payment,Credit_card_repayment,2019-04-01,2019-04-01,1250860.951111111,2019-09-30 11:00:00,18.458432153714643,182.45833333333334,182.45833333333334,0,1,0,0,0.0,0,3.0
155168,2019-10-07,20,50000000.0,Transfer,Outside_bank,2019-02-22,2019-02-21,1296038.2436363637,2019-10-07 20:00:00,38.57910848319301,90.375,227.83333333333334,5,1,0,0,0.0,0,3.0
391932,2019-08-15,8,10000000.0,Transfer,Outside_bank,2019-01-26,2019-01-26,961576.2258333334,2019-08-15 08:00:00,10.399591557320042,201.33333333333334,201.33333333333334,0,1,0,0,0.0,0,3.0
294013,2019-09-19,1,15000000.0,Payment,Credit_card_repayment,2019-05-09,2019-02-15,442360.71249999997,2019-09-19 01:00:00,33.908978749239424,22.541666666666668,133.04166666666666,11,0,1,0,0.0,1,3.0
875222,2019-10-17,14,80000000.0,Transfer,Outside_bank,2019-05-28,2019-05-28,5291074.0575,2019-10-17 14:00:00,15.11980348988884,142.58333333333334,142.58333333333334,0,1,0,0,0.0,0,3.0
230557,2019-11-19,14,29400000.0,Transfer,Outside_bank,2019-03-05,2019-03-04,170926.549,2019-11-19 14:00:00,172.00370668151712,251.83333333333334,259.5833333333333,12,1,0,2,0.16666652777789354,0,3.0
875292,2019-11-22,11,360000000.0,Transfer,Outside_bank,2019-05-07,2019-05-06,2551626.7199999997,2019-11-22 11:00:00,141.086467380538,199.45833333333334,199.45833333333334,0,1,0,0,0.0,0,3.0
875852,2019-12-31,15,14000000.0,Transfer,Outside_bank,2019-09-06,2019-09-06,113737.445,2019-12-31 15:00:00,123.09050901195374,116.625,116.625,0,1,0,0,0.0,0,3.0
877027,2019-10-24,12,79829000.0,Transfer,Outside_bank,2019-05-29,2019-05-28,6575751.22875,2019-10-24 12:00:00,12.139905726794579,148.5,148.5,0,1,0,0,0.0,0,3.0
877027,2019-12-12,0,100000000.0,Transfer,Outside_bank,2019-05-29,2019-05-28,6575751.22875,2019-12-12 00:00:00,15.207387950236853,0.2916666666666667,197.0,13,0,1,0,0.0,1,3.0
877032,2019-11-11,16,10000000.0,Transfer,Within_bank,2019-07-26,2019-07-26,137004.625,2019-11-11 16:00:00,72.99023663814341,108.66666666666667,108.66666666666667,0,1,0,0,0.0,0,3.0
136992,2019-09-30,12,10000000.0,Transfer,Outside_bank,2019-05-22,2019-05-22,346265.8,2019-09-30 12:00:00,28.879548600269516,131.5,131.5,0,1,0,0,0.0,0,3.0
133734,2019-10-23,3,10300000.0,Payment,Credit_card_repayment,2019-01-30,2019-01-17,507564.12000000005,2019-10-23 03:00:00,20.293002586150237,38.75,266.125,10,0,1,0,0.0,1,3.0
877270,2019-10-25,17,103517000.0,Payment,Credit_card_repayment,2019-02-27,2019-02-27,4685382.565454545,2019-10-25 17:00:00,22.09360677674706,240.70833333333334,240.70833333333334,0,1,0,0,0.0,0,3.0
137117,2019-11-05,13,117000000.0,Transfer,Outside_bank,2019-05-07,2019-05-03,2022220.695,2019-11-05 13:00:00,57.857186551748455,182.54166666666666,182.54166666666666,0,1,0,0,0.0,0,3.0
486649,2019-11-18,0,100000000.0,Transfer,Outside_bank,2019-07-19,2019-07-19,5433126.741666666,2019-11-18 00:00:00,18.405607811965,0.16666666666666666,122.0,40,0,1,0,0.0,1,3.0
879684,2019-12-12,18,350000000.0,Transfer,Outside_bank,2019-05-29,2019-04-17,747464.82,2019-12-12 18:00:00,468.2494622226067,197.75,197.75,0,1,0,0,0.0,0,3.0
487986,2019-12-06,15,33000000.0,Transfer,Outside_bank,2019-03-30,2019-03-30,3261617.6909999996,2019-12-06 15:00:00,10.11767874909372,251.625,251.625,0,1,0,0,0.0,0,3.0
260131,2019-12-22,9,26000000.0,Transfer,Outside_bank,2019-07-22,2019-07-22,55414.85,2019-12-22 09:00:00,469.188313156277,92.83333333333333,153.375,1,1,0,0,0.0,0,3.0
230652,2019-11-13,15,300000000.0,Transfer,Outside_bank,2019-07-17,2019-07-16,711723.87,2019-11-13 15:00:00,421.5117865806368,119.625,119.625,0,1,0,0,0.0,0,3.0
879860,2019-07-29,9,19123467.0,Payment,Credit_card_repayment,2019-03-14,2019-03-12,324.28875,2019-07-29 09:00:00,58970.489757338495,137.375,137.375,0,1,0,0,0.0,0,3.0
375795,2019-11-17,8,22000000.0,Transfer,Outside_bank,2019-05-14,2019-05-14,217133.61428571428,2019-11-17 08:00:00,101.32010223915952,144.54166666666666,187.33333333333334,1,1,0,0,0.0,0,3.0
383075,2019-11-30,12,52000000.0,Transfer,Outside_bank,2019-08-31,2019-08-31,112451.61400000002,2019-11-30 12:00:00,462.4211084722695,91.08333333333333,91.5,1,1,0,0,0.0,0,3.0
880163,2019-11-12,14,20000000.0,Transfer,Outside_bank,2019-04-04,2019-04-04,1155302.1566666667,2019-11-12 14:00:00,17.311488500577063,98.91666666666667,222.58333333333334,1,1,0,0,0.0,0,3.0
227311,2019-11-29,5,30000000.0,Transfer,Outside_bank,2019-08-22,2019-08-22,2166823.0719999997,2019-11-29 05:00:00,13.84515440486391,0.5416666666666666,99.20833333333333,47,0,1,0,0.0,1,3.0
398903,2019-09-08,1,30000000.0,Transfer,Outside_bank,2019-04-16,2019-04-16,1800313.11,2019-09-08 01:00:00,16.66376800412977,0.375,145.04166666666666,81,0,1,3,0.03703703246456389,1,3.0
884187,2019-12-11,0,35000000.0,Transfer,Outside_bank,2019-10-02,2019-09-16,1968521.8999999997,2019-12-11 00:00:00,17.779837755334196,0.125,70.0,6,0,1,0,0.0,1,3.0
210640,2019-12-21,9,50000000.0,Transfer,Outside_bank,2019-08-08,2019-07-06,2246019.78,2019-12-21 09:00:00,22.26160270047906,135.375,135.375,0,1,0,0,0.0,0,3.0
272448,2019-10-15,13,11504822.0,Payment,Credit_card_repayment,2019-07-15,2019-07-12,4398.516666666666,2019-10-15 13:00:00,2615.6140457602437,92.54166666666667,92.54166666666667,0,1,0,0,0.0,0,3.0
316815,2019-12-16,13,38000000.0,Payment,Credit_card_repayment,2019-03-14,2019-03-07,95371.87,2019-12-16 13:00:00,398.440336715801,277.5416666666667,277.5416666666667,0,1,0,0,0.0,0,3.0
884494,2019-11-04,13,96785000.0,Payment,Credit_card_repayment,2019-01-24,2019-01-24,514944.38166666665,2019-11-04 13:00:00,187.95233707544605,284.5416666666667,284.5416666666667,0,1,0,0,0.0,0,3.0
427428,2019-12-17,16,26000000.0,Transfer,Outside_bank,2019-05-17,2019-05-17,1563346.50375,2019-12-17 16:00:00,16.63098995486124,110.0,214.66666666666666,1,1,0,0,0.0,0,3.0
59482,2019-07-18,15,110000000.0,Transfer,Outside_bank,2019-04-18,2019-04-09,1391028.338888889,2019-07-18 15:00:00,79.07818764287279,91.625,91.625,0,1,0,0,0.0,0,3.0
458641,2019-07-26,13,65790000.0,Transfer,Outside_bank,2019-01-14,2019-01-02,747767.5175000001,2019-07-26 13:00:00,87.98189070725472,91.95833333333333,193.54166666666666,2,1,0,0,0.0,0,3.0
294282,2019-04-24,11,50000000.0,Transfer,Outside_bank,2019-01-24,2019-01-24,2418419.8425,2019-04-24 11:00:00,20.674656699850186,90.45833333333333,90.45833333333333,0,1,0,0,0.0,0,3.0
251904,2019-07-08,18,66000000.0,Transfer,Outside_bank,2019-02-27,2019-02-25,4719526.3936363645,2019-07-08 18:00:00,13.984454052180348,131.75,131.75,0,1,0,0,0.0,0,3.0
404873,2019-10-15,5,29158475.0,Payment,Credit_card_repayment,2019-01-28,2019-01-24,2492519.8333333335,2019-10-15 05:00:00,11.69839236981652,12.625,260.2083333333333,20,0,1,0,0.0,1,3.0
885613,2019-08-21,17,259400000.0,Transfer,Within_bank,2019-02-12,2019-02-01,7167210.278333333,2019-08-21 17:00:00,36.192603527178655,190.70833333333334,190.70833333333334,0,1,0,0,0.0,0,3.0
358943,2019-10-24,11,20000000.0,Payment,Credit_card_repayment,2019-03-01,2019-02-22,1985558.2030000002,2019-10-24 11:00:00,10.072734191161492,116.66666666666667,237.45833333333334,10,1,0,1,0.0999999000001,0,3.0
316884,2019-10-12,2,150000000.0,Transfer,Outside_bank,2019-07-09,2019-03-04,4607300.833,2019-10-12 02:00:00,32.55702317619303,13.625,95.08333333333333,5,0,1,0,0.0,1,3.0
886142,2019-12-14,14,40000000.0,Transfer,Outside_bank,2019-07-29,2019-07-29,568503.2766666667,2019-12-14 14:00:00,70.36019252840612,108.04166666666667,138.58333333333334,1,1,0,0,0.0,0,3.0
888108,2019-07-31,12,250000000.0,Transfer,Outside_bank,2019-04-23,2019-04-23,4718363.550833333,2019-07-31 12:00:00,52.9844716936482,99.5,99.5,0,1,0,0,0.0,0,3.0
888280,2019-06-09,5,49000000.0,Transfer,Outside_bank,2019-05-13,2019-05-10,3728127.3275,2019-06-09 05:00:00,13.143327921883742,0.8333333333333334,27.208333333333332,9,0,1,0,0.0,1,3.0
445660,2019-06-09,0,35000000.0,Transfer,Outside_bank,2019-04-19,2019-04-17,216609.39428571428,2019-06-09 00:00:00,161.58117293942544,1.5416666666666667,51.0,8,0,1,0,0.0,1,3.0
184189,2019-07-23,5,10000000.0,Payment,Credit_card_repayment,2019-03-26,2019-03-20,231577.98142857142,2019-07-23 05:00:00,43.181998296554845,0.6666666666666666,119.20833333333333,6,0,1,0,0.0,1,3.0
155864,2019-11-13,15,15400000.0,Transfer,Outside_bank,2019-03-15,2019-03-15,256699.354,2019-11-13 15:00:00,59.99235977586479,243.625,243.625,0,1,0,0,0.0,0,3.0
888523,2019-07-29,19,26300000.0,Transfer,Outside_bank,2019-04-02,2019-02-13,2190989.4444444445,2019-07-29 19:00:00,12.003709130852837,108.20833333333333,118.79166666666667,3,1,0,0,0.0,0,3.0
889209,2019-11-04,17,50000000.0,Payment,Credit_card_repayment,2019-05-07,2019-05-03,715674.645,2019-11-04 17:00:00,69.8641489517927,181.70833333333334,181.70833333333334,0,1,0,0,0.0,0,3.0
517727,2019-07-18,5,17400000.0,Transfer,Within_bank,2019-02-20,2019-02-20,1420706.761818182,2019-07-18 05:00:00,12.24742534315067,104.625,148.20833333333334,2,1,1,0,0.0,0,3.0
890571,2019-04-27,0,50000000.0,Transfer,Outside_bank,2019-01-08,2019-01-08,4098307.9491666667,2019-04-27 00:00:00,12.20015689890868,1.375,109.0,3,0,1,0,0.0,1,3.0
393894,2019-10-08,12,202866052.0,Payment,Credit_card_repayment,2019-05-17,2019-05-17,2338962.97,2019-10-08 12:00:00,86.73333207970053,90.75,144.5,1,1,0,0,0.0,0,3.0
392061,2019-12-24,8,29362400.0,Payment,Credit_card_repayment,2019-06-07,2019-05-30,68391.39833333333,2019-12-24 08:00:00,429.32884414202346,164.95833333333334,200.33333333333334,1,1,0,0,0.0,0,3.0
891385,2019-05-05,0,7379668.0,Payment,Credit_card_repayment,2019-02-23,2019-01-24,375514.666,2019-05-05 00:00:00,19.652143226287407,2.0416666666666665,71.0,17,0,1,0,0.0,1,3.0
25261,2019-12-12,5,5500000.0,Transfer,Outside_bank,2019-04-06,2019-03-28,273318.7722222222,2019-12-12 05:00:00,20.123023219667427,5.875,250.20833333333334,29,0,1,0,0.0,1,3.0
891422,2019-12-17,0,49000000.0,Transfer,Outside_bank,2019-05-21,2019-05-15,442122.42124999996,2019-12-17 00:00:00,110.82903205939076,0.041666666666666664,210.0,3,0,1,0,0.0,1,3.0
114024,2019-10-23,11,40000000.0,Payment,Credit_card_repayment,2019-03-11,2019-03-11,674349.6229999999,2019-10-23 11:00:00,59.31641189544617,194.70833333333334,226.45833333333334,6,1,0,0,0.0,0,3.0
330874,2019-12-25,21,26748220.0,Transfer,Outside_bank,2019-08-21,2019-08-21,544024.912,2019-12-25 21:00:00,49.16727048615069,126.875,126.875,0,1,0,0,0.0,0,3.0
273310,2019-12-04,7,48400000.0,Transfer,Outside_bank,2019-04-17,2019-04-16,1211854.5511111112,2019-12-04 07:00:00,39.93878634628568,139.20833333333334,231.29166666666666,4,1,0,2,0.49999875000312505,0,3.0
892908,2019-08-21,15,100000000.0,Transfer,Outside_bank,2019-01-11,2019-01-07,429465.052,2019-08-21 15:00:00,232.8478173764684,222.625,222.625,0,1,0,0,0.0,0,3.0
173444,2019-07-24,12,50000000.0,Transfer,Outside_bank,2019-02-19,2019-01-31,2082586.1781818182,2019-07-24 12:00:00,24.008610315186058,155.5,155.5,0,1,0,0,0.0,0,3.0
893057,2019-10-05,0,5000000.0,Transfer,Outside_bank,2019-09-04,2019-08-23,387114.92,2019-10-05 00:00:00,12.916061204437275,11.5,31.0,8,0,1,0,0.0,1,3.0
488987,2019-10-15,11,103700000.0,Transfer,Outside_bank,2019-04-26,2019-04-12,188254.6988888889,2019-10-15 11:00:00,550.8494640853401,139.125,172.45833333333334,1,1,0,0,0.0,0,3.0
273649,2019-12-27,17,10000000.0,Payment,Credit_card_repayment,2019-07-22,2019-06-14,45161.29,2019-12-27 17:00:00,221.42857296117347,158.70833333333334,158.70833333333334,0,1,0,0,0.0,0,3.0
388344,2019-09-24,0,20290000.0,Transfer,Outside_bank,2019-09-18,2019-09-18,579937.21,2019-09-24 00:00:00,34.986546215322406,0.20833333333333334,6.0,6,0,1,0,0.0,1,3.0
194017,2019-09-24,10,200000000.0,Transfer,Outside_bank,2019-04-12,2019-04-12,16132178.972222222,2019-09-24 10:00:00,12.397581278031522,134.83333333333334,165.41666666666666,5,1,0,0,0.0,0,3.0
898750,2019-08-08,2,15000000.0,Payment,Credit_card_repayment,2019-06-21,2019-06-03,1299057.2342857143,2019-08-08 02:00:00,11.546835354126848,0.5,48.083333333333336,3,0,1,0,0.0,1,3.0
898904,2019-12-31,15,728156000.0,Transfer,Outside_bank,2019-05-15,2019-05-15,518191.87,2019-12-31 15:00:00,1405.1860751615964,230.625,230.625,0,1,0,0,0.0,0,3.0
