CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,TRANS_LV1,TRANS_LV2,ts_dt,tx_id,LAST_SEC_EVENT_TS,LAST_SEC_EVENT_NAME,HOURS_SINCE_SEC_EVENT,IS_ATO_ALERT,LAST_LOGIN_TS,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,IS_LOGIN_DRIFT_ALERT,risk_score
422598,2019-09-14,9,130000000.0,Transfer,Outside_bank,2019-09-14 09:00:00,1007020,2019-09-14 08:00:00,MB_SET_PIN,1.0,1,2019-09-14 09:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
257749,2019-05-15,14,1000000.0,Transfer,Within_bank,2019-05-15 14:00:00,529780,2019-05-15 11:00:00,MB_SET_PIN,3.0,1,2019-05-15 13:00:00,LOGIN,0.5999988000024,5.0,1,4.0
278989,2019-09-11,16,5440000.0,Transfer,Within_bank,2019-09-11 16:00:00,996778,2019-09-10 18:00:00,MB_SET_PIN,22.0,1,2019-09-11 16:00:00,LOGIN,0.5555549382722909,9.0,1,4.0
538777,2019-08-10,14,3000000.0,Transfer,Within_bank,2019-08-10 14:00:00,455483,2019-08-10 11:00:00,CHANGE_PASSWORD,3.0,1,2019-08-10 14:00:00,LOGIN,0.5102039775093923,49.0,1,4.0
278989,2019-09-11,9,30000000.0,Transfer,Outside_bank,2019-09-11 09:00:00,996799,2019-09-10 18:00:00,MB_SET_PIN,15.0,1,2019-09-11 09:00:00,LOGIN,0.5999988000024,5.0,1,4.0
143689,2019-02-22,12,1000000.0,Transfer,Within_bank,2019-02-22 12:00:00,309146,2019-02-22 11:00:00,MB_SET_PIN,1.0,1,2019-02-22 12:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
702632,2019-08-11,8,3000000.0,Transfer,Outside_bank,2019-08-11 08:00:00,1052470,2019-08-10 09:00:00,MB_SET_PIN,23.0,1,2019-08-11 08:00:00,LOGIN,0.5999988000024,5.0,1,4.0
528034,2019-06-03,13,1350000.0,Transfer,Outside_bank,2019-06-03 13:00:00,1054469,2019-06-02 17:00:00,CHANGE_PASSWORD,20.0,1,2019-06-03 13:00:00,LOGIN,0.5116277879935376,43.0,1,4.0
278989,2019-09-11,17,2000000.0,Transfer,Outside_bank,2019-09-11 17:00:00,996790,2019-09-10 18:00:00,MB_SET_PIN,23.0,1,2019-09-11 17:00:00,LOGIN,0.5454540495872277,11.0,1,4.0
158435,2019-05-31,21,1000000.0,Transfer,Within_bank,2019-05-31 21:00:00,614796,2019-05-31 21:00:00,MB_RESET_PIN,0.0,1,2019-05-31 21:00:00,LOGIN,0.6923071597637233,13.0,1,4.0
441030,2019-05-03,20,20000000.0,Transfer,Outside_bank,2019-05-03 20:00:00,315991,2019-05-03 12:00:00,MB_SET_PIN,8.0,1,2019-05-03 20:00:00,LOGIN,0.5555549382722909,9.0,1,4.0
449930,2019-02-20,16,2000000.0,Transfer,Outside_bank,2019-02-20 16:00:00,54918,2019-02-20 11:00:00,MB_SET_PIN,5.0,1,2019-02-20 16:00:00,LOGIN,0.5999988000024,5.0,1,4.0
753569,2019-08-22,10,1200000.0,Transfer,Outside_bank,2019-08-22 10:00:00,870621,2019-08-22 09:00:00,CHANGE_PASSWORD,1.0,1,2019-08-22 10:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
158435,2019-12-25,21,2000000.0,Transfer,Outside_bank,2019-12-25 21:00:00,614801,2019-12-25 21:00:00,MB_RESET_PIN,0.0,1,2019-12-25 21:00:00,LOGIN,0.5151514631160138,99.0,1,4.0
970233,2019-09-20,11,50000000.0,Transfer,Outside_bank,2019-09-20 11:00:00,1018107,2019-09-19 16:00:00,MB_SET_PIN,19.0,1,2019-09-20 11:00:00,LOGIN,0.5454540495872277,11.0,1,4.0
120405,2019-06-08,13,50000000.0,Transfer,Outside_bank,2019-06-08 13:00:00,753969,2019-06-07 17:00:00,CHANGE_PASSWORD,20.0,1,2019-06-08 12:00:00,LOGIN,0.5454540495872277,11.0,1,4.0
432475,2019-05-24,15,2000000.0,Transfer,Within_bank,2019-05-24 15:00:00,91583,2019-05-24 15:00:00,MB_RESET_PIN,0.0,1,2019-05-24 15:00:00,LOGIN,0.5090908628099216,110.0,1,4.0
473463,2019-02-13,17,43000000.0,Payment,Credit_card_repayment,2019-02-13 17:00:00,45383,2019-02-13 15:00:00,MB_SET_PIN,2.0,1,2019-02-13 16:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
473463,2019-02-13,16,28000000.0,Payment,Credit_card_repayment,2019-02-13 16:00:00,45429,2019-02-13 15:00:00,MB_SET_PIN,1.0,1,2019-02-13 16:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
532105,2019-08-31,11,3840000.0,Transfer,Outside_bank,2019-08-31 11:00:00,344146,2019-08-31 09:00:00,MB_RESET_PIN,2.0,1,2019-08-31 11:00:00,LOGIN,0.5079364676240898,126.0,1,4.0
592610,2019-09-17,18,388000000.0,Transfer,Outside_bank,2019-09-17 18:00:00,954582,2019-09-17 11:00:00,MB_RESET_PIN,7.0,1,2019-09-17 18:00:00,LOGIN,0.5463916962482788,97.0,1,4.0
859558,2019-10-08,19,2400000.0,Transfer,Outside_bank,2019-10-08 19:00:00,1229136,2019-10-08 18:00:00,MB_SET_PIN,1.0,1,2019-10-08 19:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
232265,2019-04-11,6,100000000.0,Transfer,Outside_bank,2019-04-11 06:00:00,203369,2019-04-10 16:00:00,MB_SET_PIN,14.0,1,2019-04-11 06:00:00,LOGIN,0.5999988000024,5.0,1,4.0
73070,2019-07-24,14,200000000.0,Transfer,Outside_bank,2019-07-24 14:00:00,740631,2019-07-23 15:00:00,MB_SET_PIN,23.0,1,2019-07-24 14:00:00,LOGIN,0.5333329777780148,15.0,1,4.0
695937,2019-06-17,14,3000000.0,Transfer,Outside_bank,2019-06-17 14:00:00,22309,2019-06-17 13:00:00,CHANGE_PASSWORD,1.0,1,2019-06-17 14:00:00,LOGIN,0.5058822934256125,85.0,1,4.0
371126,2019-07-26,16,2000000.0,Transfer,Outside_bank,2019-07-26 16:00:00,705867,2019-07-26 09:00:00,CHANGE_PASSWORD,7.0,1,2019-07-26 16:00:00,LOGIN,0.5384611242606736,13.0,1,4.0
929277,2019-08-24,17,1000000.0,Transfer,Outside_bank,2019-08-24 17:00:00,964963,2019-08-24 13:00:00,MB_SET_PIN,4.0,1,2019-08-24 17:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
855852,2019-07-23,19,1000000.0,Transfer,Outside_bank,2019-07-23 19:00:00,742243,2019-07-23 11:00:00,CHANGE_PASSWORD,8.0,1,2019-07-23 19:00:00,LOGIN,0.5333329777780148,15.0,1,4.0
451650,2019-11-15,9,1500000.0,Transfer,Outside_bank,2019-11-15 09:00:00,459820,2019-11-14 11:00:00,CHANGE_PASSWORD,22.0,1,2019-11-15 09:00:00,LOGIN,0.5008517802239901,587.0,1,4.0
451650,2019-11-14,22,1000000.0,Transfer,Outside_bank,2019-11-14 22:00:00,459821,2019-11-14 11:00:00,CHANGE_PASSWORD,11.0,1,2019-11-14 22:00:00,LOGIN,0.5017064760800943,586.0,1,4.0
651351,2019-09-12,22,15000000.0,Transfer,Within_bank,2019-09-12 22:00:00,1110081,2019-09-12 22:00:00,MB_RESET_PIN,0.0,1,2019-09-12 22:00:00,LOGIN,0.5185183264746939,27.0,1,4.0
606586,2019-09-10,16,1000000.0,Topup,eWallet,2019-09-10 16:00:00,1115487,2019-09-10 15:00:00,MB_SET_PIN,1.0,1,2019-09-10 16:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
15915,2019-10-17,9,2800000.0,Transfer,Outside_bank,2019-10-17 09:00:00,1125829,2019-10-16 09:00:00,MB_SET_PIN,24.0,1,2019-10-17 09:00:00,LOGIN,0.6666644444518518,3.0,1,4.0
3418,2019-10-22,9,250000000.0,Transfer,Outside_bank,2019-10-22 09:00:00,1134252,2019-10-21 16:00:00,CHANGE_PASSWORD,17.0,1,2019-10-22 09:00:00,LOGIN,0.5999988000024,5.0,1,4.0
293210,2019-08-12,22,16000000.0,Transfer,Outside_bank,2019-08-12 22:00:00,1135545,2019-08-12 11:00:00,CHANGE_PASSWORD,11.0,1,2019-08-12 22:00:00,LOGIN,0.5074626108264759,67.0,1,4.0
