CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,TRANS_LV1,TRANS_LV2,Merchant_ID_Masked,ts_dt,tx_id,is_high_risk_cat,cum_cat_count,cum_tx_count,IS_FIRST_TIME_HIGH_RISK_CAT,IS_FIRST_TIME_HIGH_RISK_HIGH_VAL,MERCHANT_TOTAL_DISTINCT_CUSTOMERS,MERCHANT_TOTAL_TRANS_COUNT,MERCHANT_TOTAL_AMOUNT,risk_score
471,2019-08-05,10,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-05 10:00:00,989770,1,0,3,1,1,46204,989006,10890308817423.29,2.5
1149,2019-08-20,12,75000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-20 12:00:00,561798,1,0,45,1,1,46204,989006,10890308817423.29,2.5
2938,2019-11-28,15,230000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-28 15:00:00,1149899,1,0,27,1,1,46204,989006,10890308817423.29,2.5
3093,2019-12-15,19,100000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-15 19:00:00,1328130,1,0,1,1,1,46204,989006,10890308817423.29,2.5
5757,2019-11-30,10,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-30 10:00:00,1148915,1,0,2,1,1,46204,989006,10890308817423.29,2.5
5972,2019-08-28,20,56200000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-28 20:00:00,441803,1,0,42,1,1,46204,989006,10890308817423.29,2.5
6109,2019-07-05,10,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-05 10:00:00,860888,1,0,1,1,1,46204,989006,10890308817423.29,2.5
9528,2019-09-23,8,200000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-23 08:00:00,1030181,1,0,1,1,1,46204,989006,10890308817423.29,2.5
10276,2019-02-28,20,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-02-28 20:00:00,119681,1,0,4,1,1,46204,989006,10890308817423.29,2.5
11901,2019-10-25,16,42600000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-25 16:00:00,1071649,1,0,9,1,1,46204,989006,10890308817423.29,2.5
12567,2019-11-11,15,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-11 15:00:00,1406224,1,0,1,1,1,46204,989006,10890308817423.29,2.5
12726,2019-12-12,9,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-12 09:00:00,1357048,1,0,2,1,1,46204,989006,10890308817423.29,2.5
12995,2019-06-06,20,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-06 20:00:00,630990,1,0,2,1,1,46204,989006,10890308817423.29,2.5
15953,2019-12-03,15,47000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-03 15:00:00,1383518,1,0,2,1,1,46204,989006,10890308817423.29,2.5
16739,2019-11-20,16,46400000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-20 16:00:00,1398296,1,0,1,1,1,46204,989006,10890308817423.29,2.5
17423,2019-07-27,20,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-27 20:00:00,641060,1,0,7,1,1,46204,989006,10890308817423.29,2.5
18315,2019-10-01,10,140000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-01 10:00:00,1358378,1,0,3,1,1,46204,989006,10890308817423.29,2.5
23132,2019-12-19,8,111137500.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-19 08:00:00,1348911,1,0,2,1,1,46204,989006,10890308817423.29,2.5
23397,2019-07-25,13,900000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-25 13:00:00,739096,1,0,9,1,1,46204,989006,10890308817423.29,2.5
23641,2019-06-27,13,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-27 13:00:00,1404371,1,0,1,1,1,46204,989006,10890308817423.29,2.5
23883,2019-12-28,10,48000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-28 10:00:00,1348857,1,0,2,1,1,46204,989006,10890308817423.29,2.5
24582,2019-08-28,21,38000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-28 21:00:00,1387423,1,0,1,1,1,46204,989006,10890308817423.29,2.5
26161,2019-09-06,9,151000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-06 09:00:00,986554,1,0,1,1,1,46204,989006,10890308817423.29,2.5
26752,2019-10-25,18,45400000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-25 18:00:00,1162668,1,0,2,1,1,46204,989006,10890308817423.29,2.5
30783,2019-09-11,16,273910000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-11 16:00:00,994321,1,0,2,1,1,46204,989006,10890308817423.29,2.5
31754,2019-10-07,14,200000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-07 14:00:00,1403807,1,0,5,1,1,46204,989006,10890308817423.29,2.5
34146,2019-10-09,9,39000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-09 09:00:00,1090574,1,0,3,1,1,46204,989006,10890308817423.29,2.5
36154,2019-09-27,9,50350000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-27 09:00:00,1254299,1,0,6,1,1,46204,989006,10890308817423.29,2.5
37036,2019-03-15,22,49000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-03-15 22:00:00,107070,1,0,1,1,1,46204,989006,10890308817423.29,2.5
37315,2019-11-07,23,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-07 23:00:00,1212279,1,0,1,1,1,46204,989006,10890308817423.29,2.5
38158,2019-03-22,17,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-03-22 17:00:00,1345393,1,0,2,1,1,46204,989006,10890308817423.29,2.5
45822,2019-11-05,15,100000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-05 15:00:00,1230769,1,0,3,1,1,46204,989006,10890308817423.29,2.5
47167,2019-05-08,11,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-05-08 11:00:00,304648,1,0,1,1,1,46204,989006,10890308817423.29,2.5
49758,2019-09-24,13,160000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-24 13:00:00,1359465,1,0,1,1,1,46204,989006,10890308817423.29,2.5
49924,2019-06-20,15,200000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-20 15:00:00,1413714,1,0,1,1,1,46204,989006,10890308817423.29,2.5
50769,2019-12-10,9,500000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-10 09:00:00,1016038,1,0,5,1,1,46204,989006,10890308817423.29,2.5
