CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,Device_OS,ts_dt,tx_id,prev_os,prev_ts,is_os_changed,time_diff_hours,IS_OS_DRIFT,IS_RARE_OS,risk_score
68,2019-10-16,19,2178000.0,IOS,2019-10-16 19:00:00,126325,WEB,2019-10-16 16:00:00,1,3.0,1,0,2.0
68,2019-10-16,21,315000.0,ANDROID,2019-10-16 21:00:00,126545,IOS,2019-10-16 19:00:00,1,2.0,1,0,2.0
386,2019-08-23,13,2003000.0,WEB,2019-08-23 13:00:00,899913,ANDROID,2019-08-22 14:00:00,1,23.0,1,0,2.0
482,2019-11-28,12,20000.0,WEB,2019-11-28 12:00:00,646947,ANDROID,2019-11-28 09:00:00,1,3.0,1,0,2.0
1101,2019-09-20,9,100000.0,WEB,2019-09-20 09:00:00,206891,ANDROID,2019-09-19 14:00:00,1,19.0,1,0,2.0
1149,2019-09-03,22,282680000.0,IOS,2019-09-03 22:00:00,561841,WEB,2019-09-03 14:00:00,1,8.0,1,0,2.0
1149,2019-09-04,9,65800000.0,ANDROID,2019-09-04 09:00:00,561820,IOS,2019-09-03 22:00:00,1,11.0,1,0,2.0
1186,2019-12-25,21,4000000.0,ANDROID,2019-12-25 21:00:00,696908,IOS,2019-12-25 09:00:00,1,12.0,1,0,2.0
1193,2019-12-14,17,200000.0,IOS,2019-12-14 17:00:00,1019679,ANDROID,2019-12-14 14:00:00,1,3.0,1,0,2.0
1193,2019-12-25,19,6000000.0,WEB,2019-12-25 19:00:00,1019688,IOS,2019-12-25 19:00:00,1,0.0,1,0,2.0
1193,2019-12-25,20,452093.0,ANDROID,2019-12-25 20:00:00,1019671,WEB,2019-12-25 19:00:00,1,1.0,1,0,2.0
1368,2019-11-20,13,5537.0,IOS,2019-11-20 13:00:00,1374981,WEB,2019-11-20 09:00:00,1,4.0,1,0,2.0
2007,2019-09-06,17,4550000.0,ANDROID,2019-09-06 17:00:00,504809,IOS,2019-09-06 14:00:00,1,3.0,1,0,2.0
2021,2019-09-24,0,250000.0,IOS,2019-09-24 00:00:00,636809,ANDROID,2019-09-23 22:00:00,1,2.0,1,0,2.0
2169,2019-12-27,15,120000.0,ANDROID,2019-12-27 15:00:00,1202301,IOS,2019-12-26 16:00:00,1,23.0,1,0,2.0
2169,2019-12-27,18,400000.0,WEB,2019-12-27 18:00:00,1202310,ANDROID,2019-12-27 15:00:00,1,3.0,1,0,2.0
2273,2019-09-24,18,4500000.0,WEB,2019-09-24 18:00:00,464764,IOS,2019-09-23 21:00:00,1,21.0,1,0,2.0
2746,2019-06-26,9,1000000.0,ANDROID,2019-06-26 09:00:00,335443,IOS,2019-06-25 20:00:00,1,13.0,1,0,2.0
2746,2019-06-26,20,500000.0,WEB,2019-06-26 20:00:00,335433,ANDROID,2019-06-26 09:00:00,1,11.0,1,0,2.0
2746,2019-06-27,6,50000.0,IOS,2019-06-27 06:00:00,335424,WEB,2019-06-26 20:00:00,1,10.0,1,0,2.0
2944,2019-10-06,12,1000000.0,IOS,2019-10-06 12:00:00,543984,ANDROID,2019-10-05 23:00:00,1,13.0,1,0,2.0
2944,2019-10-06,12,9000000.0,ANDROID,2019-10-06 12:00:00,544025,IOS,2019-10-06 12:00:00,1,0.0,1,0,2.0
2944,2019-10-06,13,100000.0,IOS,2019-10-06 13:00:00,543983,ANDROID,2019-10-06 12:00:00,1,1.0,1,0,2.0
2944,2019-12-22,14,536000.0,IOS,2019-12-22 14:00:00,543954,WEB,2019-12-22 12:00:00,1,2.0,1,0,2.0
3138,2019-11-11,11,5500000.0,ANDROID,2019-11-11 11:00:00,1144707,WEB,2019-11-11 08:00:00,1,3.0,1,0,2.0
3138,2019-11-11,14,280000.0,IOS,2019-11-11 14:00:00,1144690,ANDROID,2019-11-11 11:00:00,1,3.0,1,0,2.0
3850,2019-08-03,14,57000000.0,IOS,2019-08-03 14:00:00,676995,ANDROID,2019-08-02 19:00:00,1,19.0,1,0,2.0
3940,2019-11-20,10,10000.0,ANDROID,2019-11-20 10:00:00,796410,WEB,2019-11-20 08:00:00,1,2.0,1,0,2.0
4380,2019-07-10,17,20000000.0,WEB,2019-07-10 17:00:00,521962,IOS,2019-07-09 18:00:00,1,23.0,1,0,2.0
5066,2019-11-02,14,3000000.0,ANDROID,2019-11-02 14:00:00,1262128,WEB,2019-11-01 21:00:00,1,17.0,1,0,2.0
5084,2019-07-02,12,12000000.0,WEB,2019-07-02 12:00:00,140909,ANDROID,2019-07-01 18:00:00,1,18.0,1,0,2.0
5084,2019-07-02,12,4760000.0,ANDROID,2019-07-02 12:00:00,140938,WEB,2019-07-02 12:00:00,1,0.0,1,0,2.0
5203,2019-09-27,8,9000000.0,WEB,2019-09-27 08:00:00,1021052,ANDROID,2019-09-26 22:00:00,1,10.0,1,0,2.0
5203,2019-09-27,14,3000000.0,IOS,2019-09-27 14:00:00,1021121,WEB,2019-09-27 08:00:00,1,6.0,1,0,2.0
5234,2019-09-21,0,800000.0,ANDROID,2019-09-21 00:00:00,1020844,IOS,2019-09-20 18:00:00,1,6.0,1,0,2.0
5234,2019-09-21,12,3000000.0,IOS,2019-09-21 12:00:00,1020848,ANDROID,2019-09-21 11:00:00,1,1.0,1,0,2.0
5234,2019-09-21,15,85000.0,ANDROID,2019-09-21 15:00:00,1020849,IOS,2019-09-21 14:00:00,1,1.0,1,0,2.0
6779,2019-09-16,23,500000.0,WEB,2019-09-16 23:00:00,897205,ANDROID,2019-09-16 17:00:00,1,6.0,1,0,2.0
6779,2019-09-17,0,50000.0,ANDROID,2019-09-17 00:00:00,897255,WEB,2019-09-16 23:00:00,1,1.0,1,0,2.0
6845,2019-11-11,9,2000000.0,IOS,2019-11-11 09:00:00,238016,ANDROID,2019-11-10 17:00:00,1,16.0,1,0,2.0
6848,2019-12-08,11,10000.0,IOS,2019-12-08 11:00:00,915060,WEB,2019-12-07 18:00:00,1,17.0,1,0,2.0
6995,2019-11-05,14,100000.0,IOS,2019-11-05 14:00:00,937339,ANDROID,2019-11-04 18:00:00,1,20.0,1,0,2.0
7005,2019-11-29,17,970000.0,IOS,2019-11-29 17:00:00,362669,ANDROID,2019-11-28 18:00:00,1,23.0,1,0,2.0
7012,2019-10-10,19,147420000.0,WEB,2019-10-10 19:00:00,769924,ANDROID,2019-10-09 20:00:00,1,23.0,1,0,2.0
7012,2019-10-11,14,138886050.0,ANDROID,2019-10-11 14:00:00,769923,WEB,2019-10-10 19:00:00,1,19.0,1,0,2.0
7012,2019-10-19,9,11000000.0,IOS,2019-10-19 09:00:00,769995,ANDROID,2019-10-18 19:00:00,1,14.0,1,0,2.0
7012,2019-10-19,11,134308760.0,WEB,2019-10-19 11:00:00,769928,IOS,2019-10-19 10:00:00,1,1.0,1,0,2.0
7012,2019-10-19,19,100745000.0,IOS,2019-10-19 19:00:00,769753,WEB,2019-10-19 12:00:00,1,7.0,1,0,2.0
7012,2019-10-20,9,1759000.0,ANDROID,2019-10-20 09:00:00,770059,IOS,2019-10-19 19:00:00,1,14.0,1,0,2.0
7031,2019-08-30,10,500000.0,ANDROID,2019-08-30 10:00:00,901829,WEB,2019-08-30 08:00:00,1,2.0,1,0,2.0
7496,2019-12-24,11,10000.0,ANDROID,2019-12-24 11:00:00,1329288,WEB,2019-12-23 18:00:00,1,17.0,1,0,2.0
