CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,Device_ID_Hash,Beneficiary_CUSTOMER_NUMBER,ts_dt,tx_id,DEVICE_TOTAL_DISTINCT_CUSTOMERS,DEVICE_TOTAL_TRANS_COUNT,BENEFICIARY_TOTAL_DISTINCT_SENDERS,BENEFICIARY_TOTAL_TRANS_COUNT,BENEFICIARY_TOTAL_AMOUNT,IS_SHARED_DEVICE_ALERT,IS_COMMON_RECEIVER_ALERT,risk_score
701619,2019-01-03,17,189771864.0,3a5e174d88b546ba,498844,2019-01-03 17:00:00,0,1,3,8,8,232971864.0,0,1,2.0
701619,2019-07-01,13,30224900.0,3a5e174d88b546ba,689577,2019-07-01 13:00:00,1,1,3,6,6,92219900.0,0,1,2.0
701619,2019-01-02,15,100000.0,3a5e174d88b546ba,591503,2019-01-02 15:00:00,2,1,3,5,5,69806200.0,0,1,2.0
262123,2019-02-21,17,530000.0,d0792dd0041a08b7,893473,2019-02-21 17:00:00,12,1,46,659,688,7247087398.0,0,1,2.0
262123,2019-07-06,11,50000000.0,d0792dd0041a08b7,612055,2019-07-06 11:00:00,39,1,46,3,3,53500000.0,0,1,2.0
90697,2019-01-03,15,600000000.0,2cb8675e0848092c,928137,2019-01-03 15:00:00,49,1,6,612,637,5604863778.0,0,1,2.0
90697,2019-03-09,16,400000.0,2cb8675e0848092c,688161,2019-03-09 16:00:00,50,1,6,5,5,10052000.0,0,1,2.0
90697,2019-03-16,21,400000.0,2cb8675e0848092c,493717,2019-03-16 21:00:00,51,1,6,664,689,6614263966.0,0,1,2.0
90697,2019-03-26,15,1000000.0,2cb8675e0848092c,433633,2019-03-26 15:00:00,52,1,6,647,671,7616982661.0,0,1,2.0
90697,2019-06-21,13,50000000.0,2cb8675e0848092c,879329,2019-06-21 13:00:00,53,1,6,603,621,7585767620.0,0,1,2.0
90697,2019-01-25,10,395000000.0,2cb8675e0848092c,575069,2019-01-25 10:00:00,54,1,6,631,665,9588147201.0,0,1,2.0
