CUSTOMER_NUMBER,anomaly_score_sample,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
44,-0.6194606260753057,Transfer,Within_bank,2019-12-12,Thu,20,1,23900000.0,479765,Android,30.213.xx.xx (NA),M,2019-04-04,1990-08-08,0,2019-04-04,BRANCH,1,SMART_OTP,Working,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,23900000.0,1,956799.0944444444,8333333.333333333,3,182.33333333333334,1,0.0,LOGIN_FACEID,0.47619036281181837,42.0,0.0,-1.509743283632709
88,-0.5693566226531088,Transfer,Outside_bank,2019-10-02,Wed,8,1,50000000.0,578168,iOS,14.182.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,50000000.0,1,50000000.0,1,77545000.0,7,80773000.0,9,125973222.0,23,485665129.0,132,8844481.102,4369996.853994491,363,0.4583333333333333,7,165.0,LOGIN_FINGER,0.44549760921812276,211.0,0.03889746598194539,-1.441169318574772
88,-0.5673311880939341,Transfer,Outside_bank,2019-11-01,Fri,7,1,37439000.0,711016,iOS,50.208.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,37439000.0,1,37439000.0,1,107223580.0,14,114711580.0,18,136814840.0,26,630521972.0,149,8844481.102,4369996.853994491,363,0.375,14,19.0,LOGIN_FINGER,0.4711934059425225,486.0,0.03889746598194539,-1.441169318574772
88,-0.5654241206307703,Transfer,Outside_bank,2019-12-03,Tue,8,1,40000000.0,578140,iOS,238.125.xx.xx (CT),F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,Commercial associate,40000000.0,1,40000000.0,1,40000000.0,1,40000000.0,1,86216000.0,7,289763377.0,47,8844481.102,4369996.853994491,363,5.041666666666667,1,788.0,LOGIN,0.47846153110059186,650.0,0.03889746598194539,-1.441169318574772
135,-0.5727896801537078,Transfer,Within_bank,2019-11-06,Wed,12,1,15000000.0,198496,Android,252.92.xx.xx (HN),M,2019-07-24,1986-10-20,0,2019-07-25,BRANCH,1,SMART_OTP,Working,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,15000000.0,1,561351.0333333333,10230000.0,10,32.666666666666664,1,2470.0,LOGIN_FINGER,0.4571427265306495,35.0,0.5917514130515289,-1.3626830247620028
135,-0.5917185747440397,Transfer,Within_bank,2019-12-16,Mon,9,2,10000000.0,832548,Android,101.166.xx.xx (HCM),M,2019-07-24,1986-10-20,0,2019-07-25,BRANCH,1,SMART_OTP,Working,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,10000000.0,1,561351.0333333333,10230000.0,10,39.833333333333336,1,1.0,LOGIN,0.4705881430219327,51.0,0.5917514130515289,-1.3626830247620028
143,-0.5699851492879584,Topup,eWallet,2019-11-28,Thu,17,1,10000.0,NaN,iOS,163.244.xx.xx (HP),F,2019-09-10,1982-12-24,0,2019-09-10,BRANCH,1,SMART_OTP,Working,10000.0,1,10000.0,1,10000.0,1,10000.0,1,10000.0,1,10000.0,1,103723.49,5556666.666666667,6,75.0,0,3.0,LOGIN,0.0,10.0,0.7048483079474323,-1.5102239753915914
230,-0.5823445133711058,Topup,eWallet,2019-12-22,Sun,15,1,100000.0,NaN,iOS,136.71.xx.xx (HN),M,2019-06-14,1988-10-26,0,2019-06-14,BRANCH,0,SMART_OTP,State servant,100000.0,1,100000.0,1,100000.0,1,100000.0,1,100000.0,1,100000.0,1,104270.35428571429,283333.3333333333,3,185.20833333333334,0,4589.0,LOGIN,0.0,9.0,0.0,-1.051830784273636
317,-0.6022248607614539,Payment,Credit_card_repayment,2019-06-26,Wed,11,2,600000.0,NaN,Android,202.161.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,600000.0,1,600000.0,1,600000.0,1,600000.0,1,600000.0,1,600000.0,1,37697.706666666665,2105881.5714285714,7,64.45833333333333,0,1537.0,LOGIN,0.09090900826453795,11.0,1.001997935597524,-1.0845402446682986
317,-0.6120721635085216,Payment,Credit_card_repayment,2019-07-25,Thu,7,1,2600000.0,NaN,Android,125.42.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,3200000.0,2,37697.706666666665,2105881.5714285714,7,28.833333333333332,0,2229.0,LOGIN,0.1333332444445037,15.0,1.001997935597524,-1.0845402446682986
317,-0.6099381474039183,Payment,Credit_card_repayment,2019-08-24,Sat,12,1,1800000.0,NaN,Android,58.10.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,1800000.0,1,1800000.0,1,1800000.0,1,1800000.0,1,1800000.0,1,1800000.0,1,37697.706666666665,2105881.5714285714,7,30.208333333333332,0,2954.0,LOGIN,0.12499992187504883,16.0,1.001997935597524,-1.0845402446682986
317,-0.6293286139073089,Payment,Credit_card_repayment,2019-09-25,Wed,19,1,2000000.0,NaN,Android,79.143.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2000000.0,1,2000000.0,1,2000000.0,1,2000000.0,1,2000000.0,1,2000000.0,1,37697.706666666665,2105881.5714285714,7,32.291666666666664,0,3729.0,LOGIN,0.11111104938275035,18.0,1.001997935597524,-1.0845402446682986
317,-0.6153446785666392,Payment,Credit_card_repayment,2019-10-24,Thu,11,1,2191171.0,NaN,Android,149.180.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2191171.0,1,2191171.0,1,2191171.0,1,2191171.0,1,2191171.0,1,4191171.0,2,37697.706666666665,2105881.5714285714,7,28.666666666666668,0,4417.0,LOGIN,0.08695648393196351,23.0,1.001997935597524,-1.0845402446682986
317,-0.6362477516200896,Payment,Credit_card_repayment,2019-11-24,Sun,8,1,2950000.0,NaN,Android,95.234.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2950000.0,1,2950000.0,1,2950000.0,1,2950000.0,1,2950000.0,1,2950000.0,1,37697.706666666665,2105881.5714285714,7,30.875,0,5158.0,LOGIN,0.06451610822061025,31.0,1.001997935597524,-1.0845402446682986
317,-0.635051173081536,Payment,Credit_card_repayment,2019-12-25,Wed,17,1,2600000.0,NaN,Android,10.104.xx.xx (HP),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,37697.706666666665,2105881.5714285714,7,31.375,0,5911.0,LOGIN,0.05263156509695655,38.0,1.001997935597524,-1.0845402446682986
331,-0.5799038547329132,Transfer,Outside_bank,2019-03-06,Wed,9,2,12000000.0,63398,iOS,196.198.xx.xx (HCM),M,2019-01-16,1992-01-07,0,2019-01-25,BRANCH,1,SMS,Unemployed,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,3490298.725,6480000.0,3,40.375,1,0.0,LOGIN,0.0,0.0,0.0,-2.5092054678419475
386,-0.5708502555519854,Transfer,Within_bank,2019-10-21,Mon,9,1,380000000.0,456015,Android,40.87.xx.xx (HCM),F,2019-08-12,1989-04-24,0,2019-08-12,BRANCH,1,SMART_OTP,Working,380000000.0,1,380000000.0,1,380550000.0,2,380550000.0,2,383615000.0,5,416432414.0,15,114440623.53400001,16809085.8,70,0.6666666666666666,2,1670.0,LOGIN,0.0,41.0,0.061351446143111873,-1.0341287827195147
470,-0.5731617641401942,Transfer,Outside_bank,2019-05-08,Wed,14,1,50000000.0,69129,Android,204.70.xx.xx (HN),M,2019-02-14,1985-08-23,0,2019-03-02,BRANCH,0,SMS,State servant,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,3666343.766363636,12919000.0,18,67.58333333333333,1,1612.0,LOGIN,0.4891304081994343,184.0,0.4989169656755756,-0.795191579133574
470,-0.5871617100993823,Transfer,Outside_bank,2019-10-05,Sat,10,1,5000000.0,379135,Android,127.130.xx.xx (HN),M,2019-02-14,1985-08-23,0,2019-03-02,BRANCH,0,SMS,State servant,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,3666343.766363636,12919000.0,18,81.95833333333333,1,5208.0,LOGIN_FINGER,0.4830339224943329,501.0,0.4989169656755756,-0.795191579133574
