CUSTOMER_NUMBER,BENFORD_DEV,ACTIVITY_SEQ_RARITY,TRANS_AMOUNT_Z_SCORE,BALANCE_COVERAGE_RATIO,SPIKE_1H_VS_24H,SPIKE_24H_VS_7D,SPIKE_7D_VS_30D,TRANS_AMOUNT_VS_30D_AVG_RATIO
68,-0.5901848,-0.13676637,6.8292794,0.8429106,0.023969032,-0.10877111,-0.22666603,4.210588
68,-0.60885394,-0.14150335,7.0776005,0.71208715,0.9808109,-0.10877111,-0.072010815,4.2030563
68,-0.6635764,-0.13412257,7.9822183,0.5564443,-0.47505757,-0.10877111,-0.15935342,3.0392642
88,-0.6838276,0.021133065,6.934543,-0.18429264,0.73690426,-0.11125275,-0.23067485,4.1985264
88,-0.6629421,0.018841844,3.8191814,-0.31756166,0.9224384,0.90252864,-0.19983198,2.3871977
386,-0.77579147,-0.121519744,6.7141266,-0.79985577,-0.25978875,-0.10437692,0.2788649,4.2316074
640,2.0963926,-0.16939102,8.489146,0.6916895,-0.5093548,-0.0949011,0.3608251,3.4794822
967,-0.2948127,-0.17969944,2.7207522,-0.1803335,-0.039669804,-0.06366898,-0.2205318,6.244597
993,-0.66526467,-0.12815538,9.051021,3.0471807,-0.45491484,-0.08702788,0.1325082,3.7632287
1055,-0.24145223,-0.1744839,8.380441,0.44709152,-0.50060827,0.83740175,-0.18951923,3.2936838
1055,-0.20723732,-0.1744839,7.0509334,0.6884791,-0.44187155,0.90252864,-0.18951923,4.405913
1101,-0.6242381,-0.13412257,3.045768,0.681534,-0.4361521,-0.10877111,-0.13696197,6.401775
1134,0.44172308,-0.05954676,9.197865,1.7308592,0.96973395,-0.0848648,-0.27576998,3.1950333
1149,-0.43709585,-0.07618694,2.2023034,3.7589881,0.51287574,-0.03528896,-0.1376571,1.0464377
1149,-0.43709585,-0.07618694,2.2023034,3.7589881,0.51287574,-0.03528896,-0.1376571,1.0464377
1149,-0.5249135,-0.06956736,2.8154166,3.7347932,1.2699028,-0.063614294,0.12111438,1.0282173
1193,-0.33055654,-0.052895956,4.001061,2.8435864,-0.40770394,-0.06659849,-0.12343615,1.3961898
1936,0.6239536,-0.14826536,3.5806572,-1.297968,0.19224685,-0.09617352,0.28797385,6.458365
1936,0.6588452,-0.14229248,3.4196417,-1.2084988,-0.32590154,-0.09915771,-0.146937,6.418827
2020,-0.4811989,-0.16840571,7.059299,2.2031868,-0.33992767,-0.08443987,-0.15914048,4.2145715
2021,-0.7770572,-0.12644722,3.0337749,-0.26620615,-0.54499096,-0.10826856,0.24633388,6.234579
2021,-0.7496565,-0.12862913,3.7104325,-0.29937404,-0.44641432,-0.11020924,-0.13555177,5.458015
2021,-0.7445382,-0.12966952,6.702121,-0.25327364,-0.44641432,0.17988884,-0.15794322,4.1523623
2021,-0.6872948,-0.14181337,2.8248544,-0.34364825,0.27308878,-0.06405826,-0.20828341,6.0051823
2021,-0.6838276,-0.13487683,6.8458047,-0.21190287,0.46113175,-0.11125275,-0.23067485,4.109107
2174,0.448301,-0.0505226,8.321993,1.1242785,-0.52054673,-0.10012926,0.30971134,2.8266184
2496,2.2505805,-0.17001046,3.3066328,0.03446578,-0.50433505,-0.09987366,0.29672807,2.5936916
2746,0.5970256,-0.17176507,3.228388,0.90343726,-0.12707198,-0.10037621,-0.2618156,2.7234669
2746,0.5258585,-0.05954676,3.8370814,0.9735628,0.7677438,-0.086343,-0.24824554,1.9505602
2944,0.27839246,-0.15168266,8.224838,-1.4290286,0.002945967,-0.09891076,0.23402484,3.1470647
2971,0.6659567,-0.17230357,7.01458,0.7042124,-0.16016358,-0.099332705,-0.009602533,4.394732
3178,0.169883,-0.17436522,7.277758,2.117218,0.04984785,-0.07579802,0.44171566,4.435512
3178,0.17031339,-0.17921996,7.4519467,2.0007558,0.63221705,-0.07579802,0.46420795,4.433591
3178,0.17031339,-0.17921996,7.4519467,2.0007558,0.58802044,-0.07579802,0.44171566,4.4241037
3472,-0.65292233,-0.12734205,9.051255,3.0580308,-0.4749655,-0.08702788,0.24387358,3.8009481
3850,-0.44275954,-0.07734092,3.5964646,3.9938436,-0.30174023,0.12480641,-0.10111646,0.7030219
3976,0.373011,-0.1698198,6.9682183,1.0832093,-0.4741348,-0.09322808,0.3608251,4.4479294
4100,-0.18868202,-0.17345464,7.4104986,2.1206706,0.6249018,-0.08443987,-0.041934106,4.1180673
4217,-0.47641852,0.6233827,2.4006495,4.0610485,0.8589678,0.47223058,0.35427684,0.652655
5084,-0.40903625,-0.16633034,6.7303905,0.23071769,0.07720772,-0.11125275,-0.036524676,4.326041
5084,-0.43655965,-0.17005906,6.808475,-0.11756675,0.5265751,-0.11125275,-0.023397947,4.2471776
5171,-0.56348395,-0.16828798,8.489098,1.7265788,-0.48410913,-0.0932597,0.061832327,3.4823549
6645,2.2530766,-0.04602888,3.654504,2.2845087,-0.35096282,-0.079126246,-0.1633538,2.8199124
6645,2.0102112,-0.051797897,4.3457875,1.9685029,-0.22241278,-0.05272847,0.16813876,0.660942
6701,0.19036523,-0.17134543,8.167334,0.47536314,-0.41834885,-0.10559509,-0.22782092,3.1703124
6707,-0.45218801,-0.05726796,2.720798,3.621076,0.72658956,-0.06659849,-0.029842881,0.5838519
6971,3.0715308,-0.1604182,7.1279283,-0.568272,-0.46234185,-0.09349109,0.29918963,4.349973
6992,-0.8127295,-0.09958902,3.768389,-1.2992107,-0.46093524,-0.10456842,0.16983421,5.5030546
6995,-0.29690844,-0.053726092,5.985437,2.5253632,0.021134539,-0.063614294,0.27999592,-1.6302153
6995,-0.38852376,-0.052432984,5.9751134,2.6548572,-0.24725604,-0.06659849,-0.13432881,-0.9360656
7012,-0.6178707,0.013998839,3.5969176,0.07422341,0.8701781,0.48967007,-0.21044187,2.4991148
7012,-0.5878021,0.012097581,7.127827,0.43769002,0.71339256,0.17988884,-0.22666603,4.214274
7155,-0.39380103,-0.17408833,3.907565,-0.47105393,0.041502424,-0.10736111,-0.22665025,5.4813232
7155,-0.39380103,-0.17408833,3.907565,-0.47293183,0.027021132,-0.10736111,-0.22665025,5.4976826
7457,-0.69686407,-0.12277339,3.8888009,-0.71739036,0.049808484,-0.10736111,-0.2009788,5.4015603
7683,-0.6586323,0.021144781,3.8076332,0.101868056,0.04719911,-0.11125275,-0.19711767,5.6399016
7870,-0.15361051,0.02473103,8.146692,0.45532125,-0.46556845,-0.10364284,-0.17805451,2.4076476
8256,-0.570337,-0.13400482,7.1077385,2.2122447,-0.38546503,-0.08443987,0.06825266,4.287778
8517,0.73320633,-0.16879448,8.372083,-0.48378158,-0.4714883,-0.095982015,0.31313467,3.2580802
8635,-0.49591622,-0.05169729,8.211745,-0.43042696,-0.088085525,-0.10826856,0.30372024,2.2339578
9303,-0.4939486,0.07782428,7.2440825,2.2902641,-0.020852081,-0.081455685,0.23267083,4.2299957
9908,-0.73582643,-0.13400482,6.7017503,0.31277633,-0.52930397,-0.10826856,0.16398005,4.236383
9908,-0.7764661,-0.12726055,3.7032573,-0.28032187,-0.4980688,-0.11125275,-0.013066451,5.50076
10276,-0.773985,-0.12768018,6.697184,-0.23703827,-0.22295727,-0.11125275,0.0060187923,4.204217
10448,0.6806494,-0.008368406,7.0378847,2.7868063,-0.33168218,-0.07604497,-0.06470978,4.0001597
10448,0.6806494,-0.008368406,7.0378847,2.7868063,-0.33168218,-0.07604497,-0.06470978,4.0001597
10496,-0.8361336,-0.101702444,6.5631237,-1.4101781,-0.46051168,-0.10456842,0.20211788,4.2120376
10529,-0.5032026,-0.04766981,3.420651,4.1901565,-0.4769235,-0.06659849,-0.07954092,0.6797709
10639,-0.61497146,-0.13400482,9.050955,3.047524,-0.45491484,-0.081455685,0.15840127,3.7787652
10837,-0.57284033,-0.048956107,3.7223136,3.5884895,-0.5310046,-0.063614294,0.13505802,0.47080594
10841,0.5496392,-0.14250427,6.8523197,-1.3283864,-0.32547796,-0.09915771,-0.16932845,4.3387156
11470,-0.79118645,-0.12937397,8.048169,-0.45599425,-0.52919716,-0.11125275,0.049849384,2.9671655
11701,0.6153104,-0.17134543,6.906492,0.58834505,-0.36440137,-0.10285785,-0.22782092,4.341704
11900,-0.6466075,-0.054966796,5.9238176,2.8245466,-0.49339166,-0.067422464,0.180396,-0.44617322
11917,0.720568,-0.17249526,4.12886,-0.04782592,-0.021453362,-0.10285785,-0.26130855,5.8070045
11917,0.8257113,-0.17143036,8.579928,-0.064076014,-0.43051112,0.642977,-0.04352033,3.451215
11944,-0.65618116,-0.13551274,3.8243983,0.75572497,-0.23879239,-0.10578692,0.26328623,5.846635
12026,-0.2527564,0.031387243,6.7005463,0.42864305,-0.5132645,-0.1088473,-0.010446724,4.43749
12124,1.9974554,-0.15151739,7.0783734,0.8032796,-0.123975396,-0.08237388,-0.2343011,4.27458
12147,-0.18372816,-0.17186314,7.183437,2.3292384,-0.44220307,-0.081455685,0.26588887,4.238381
12147,-0.18005219,-0.17146945,7.2440853,2.2739449,-0.050718635,-0.081455685,0.37200066,4.2611856
12147,-0.19171937,-0.17755166,2.8269649,1.9677099,-0.42902824,-0.044653315,0.2720203,6.502665
12913,-0.7795676,0.069112666,3.8101394,-0.23237512,0.091720976,-0.10826856,0.16643682,5.6092305
13553,-0.26164648,-0.17198087,8.0282545,0.3651039,-0.5010319,-0.11125275,-0.19797066,3.1695774
14123,2.1977997,-0.17325579,1.9957589,0.14730412,0.021272855,-0.09987366,0.25236034,2.6236444
14156,0.4986327,-0.050744228,8.810913,1.7043985,-0.08087278,-0.090437,-0.24207246,2.9262602
14252,0.41934884,-0.01071598,7.1640925,0.7043941,-0.47023016,0.5743086,0.34435228,4.5701246
15572,-0.13478541,-0.16354005,6.787594,-0.72342896,-0.0016374588,-0.10170345,0.010797242,4.3108187
15658,-0.52010727,-0.05764148,3.7411807,2.2551005,0.34917942,-0.07217068,-0.038329944,1.167614
16120,-0.71176517,-0.13438937,8.006482,0.1879232,-0.47971907,-0.1093005,-0.1601017,3.0156734
16120,-0.6475563,-0.13486512,3.8076332,0.101868056,0.04719911,-0.11125275,-0.21044187,5.551071
16172,-0.7826712,0.25573462,8.018537,-1.1110209,-0.532365,-0.09708744,-0.09558374,2.058049
16376,-0.5553893,-0.13361111,7.168621,2.1600516,-0.04090277,-0.081455685,0.33746338,4.3490896
16705,-0.5737939,-0.13412257,6.9516726,1.390397,-0.41454053,-0.0932597,-0.15272014,4.166828
16744,2.958014,-0.14429392,7.254164,-0.8328576,-0.055739794,-0.09666679,-0.21247818,4.4391556
16744,2.9785264,-0.14483242,7.2572904,-0.85040164,-0.021156074,-0.095623285,-0.007179003,4.4987426
16744,3.0265439,-0.14658514,3.643132,-0.9512648,-0.089044586,0.23952675,-0.19008672,2.5384352
16744,2.958014,-0.14429392,7.254164,-0.8328576,-0.055739794,-0.09666679,-0.21247818,4.4391556
16744,2.9783103,-0.1440861,7.131837,-0.85747004,-0.35280317,-0.09666679,-0.16932845,4.439178
16870,-0.6532723,0.31870556,8.098027,0.048871458,0.02743024,-0.10097908,-0.04789239,2.3348029
16940,-0.7770098,0.64417285,7.8552175,-1.7186519,-0.55027074,-0.123431474,0.14455022,3.0250099
16940,-0.73492575,0.6437533,6.5667057,-1.4422607,-0.2354574,-0.12641566,-0.021705309,4.2885613
