Feature,Appearances,Appearance_Rate,Mean_Abs_SHAP,Max_Abs_SHAP,Mean_Rank
NEW_DEVICE_FLAG,46,48.93617021276596,1.222908695652174,1.5687,1.934782608695652
DAYS_AMOUNT_COMBINED,44,46.808510638297875,2.0205363636363636,2.7904,1.3181818181818181
BALANCE_COVERAGE_RATIO,33,35.1063829787234,1.650969696969697,3.0577,1.878787878787879
TRANS_HOUR,29,30.851063829787233,3.4959206896551724,3.7272,1.0
TRANS_AMOUNT_VS_30D_AVG_RATIO,26,27.659574468085108,0.502123076923077,1.2818,2.8076923076923075
VELOCITY_RATIO_AMOUNT_7D_VS_30D,21,22.340425531914892,0.3641190476190476,0.4885,2.9047619047619047
TRANS_AMOUNT_Z_SCORE,18,19.148936170212767,1.2303222222222223,1.8946,1.8333333333333333
HOURS_SINCE_SEC_EVENT,15,15.957446808510639,0.7287333333333333,0.993,2.7333333333333334
IP_HOPPING_VELOCITY,15,15.957446808510639,0.7881533333333334,0.8865,2.066666666666667
DAYS_SINCE_LAST_TRANS,14,14.893617021276595,1.0932,1.492,2.5714285714285716
VELOCITY_RATIO_AMOUNT_24H_VS_7D,10,10.638297872340425,0.53136,0.6251,2.5
LIMIT_UTILIZATION_VELOCITY,8,8.51063829787234,1.2818,1.4786,2.25
SEC_AMOUNT_COMBINED,2,2.127659574468085,0.47195,0.5067,2.5
AGE_GROUP,1,1.0638297872340425,0.0,0.0,3.0
