Interaction,Appearances,Appearance_Rate,Mean_Abs_SHAP,Max_Abs_SHAP
TRANS_HOUR × BALANCE_COVERAGE_RATIO,43,45.744680851063826,0.21667209302325582,0.3245
NEW_DEVICE_FLAG × DAYS_AMOUNT_COMBINED,41,43.61702127659575,0.6039268292682926,0.8857
DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO,25,26.595744680851062,0.29875599999999997,1.0067
TRANS_HOUR × IP_HOPPING_VELOCITY,15,15.957446808510639,0.3902333333333333,0.4307
BALANCE_COVERAGE_RATIO × DAYS_AMOUNT_COMBINED,13,13.829787234042554,0.2471307692307693,0.5205
TRANS_HOUR × VELOCITY_RATIO_AMOUNT_24H_VS_7D,13,13.829787234042554,0.4946230769230769,0.6027
TRANS_HOUR × TRANS_AMOUNT_Z_SCORE,10,10.638297872340425,0.23919,0.8689
TRANS_HOUR × NEW_DEVICE_FLAG,10,10.638297872340425,0.28094,0.4691
TRANS_HOUR × TRANS_AMOUNT_VS_30D_AVG_RATIO,10,10.638297872340425,0.12092,0.1975
NEW_DEVICE_FLAG × BALANCE_COVERAGE_RATIO,7,7.446808510638298,0.2513714285714286,0.5663
NEW_DEVICE_FLAG × TRANS_AMOUNT_Z_SCORE,7,7.446808510638298,0.13131428571428572,0.1355
HOURS_SINCE_SEC_EVENT × DAYS_AMOUNT_COMBINED,6,6.382978723404255,0.24575,0.2875
TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO,6,6.382978723404255,0.18861666666666665,0.2059
HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO,5,5.319148936170213,0.22318,0.2309
DAYS_SINCE_LAST_TRANS × DAYS_AMOUNT_COMBINED,5,5.319148936170213,0.14758,0.1519
TRANS_HOUR × DAYS_AMOUNT_COMBINED,5,5.319148936170213,0.08499999999999999,0.0919
LIMIT_UTILIZATION_VELOCITY × BALANCE_COVERAGE_RATIO,5,5.319148936170213,0.25632,0.5842
HOURS_SINCE_SEC_EVENT × NEW_DEVICE_FLAG,5,5.319148936170213,0.1559,0.1559
TRANS_AMOUNT_Z_SCORE × TRANS_AMOUNT_VS_30D_AVG_RATIO,5,5.319148936170213,0.19402,0.2027
TRANS_HOUR × VELOCITY_RATIO_AMOUNT_7D_VS_30D,5,5.319148936170213,0.14134,0.1695
TRANS_AMOUNT_Z_SCORE × SEC_AMOUNT_COMBINED,4,4.25531914893617,0.1679,0.1855
TRANS_AMOUNT_Z_SCORE × DAYS_AMOUNT_COMBINED,4,4.25531914893617,0.322575,0.491
LIMIT_UTILIZATION_VELOCITY × VELOCITY_RATIO_AMOUNT_7D_VS_30D,4,4.25531914893617,0.19837499999999997,0.2201
HOURS_SINCE_SEC_EVENT × ACTIVITY_SEQ_RARITY,4,4.25531914893617,0.484075,0.494
VELOCITY_RATIO_AMOUNT_7D_VS_30D × SEC_AMOUNT_COMBINED,4,4.25531914893617,0.15455,0.1626
NEW_DEVICE_FLAG × SEC_AMOUNT_COMBINED,3,3.1914893617021276,0.1295,0.1295
TRANS_HOUR × LIMIT_UTILIZATION_VELOCITY,2,2.127659574468085,0.28645,0.3218
LIMIT_UTILIZATION_VELOCITY × TRANS_AMOUNT_VS_30D_AVG_RATIO,2,2.127659574468085,0.24324999999999997,0.2583
BALANCE_COVERAGE_RATIO × VELOCITY_RATIO_AMOUNT_7D_VS_30D,2,2.127659574468085,0.14715,0.1479
NEW_DEVICE_FLAG × LIMIT_UTILIZATION_VELOCITY,2,2.127659574468085,0.32575,0.3296
HIST_BIOMETRIC_RATIO × NEW_DEVICE_FLAG,1,1.0638297872340425,0.1319,0.1319
ACTIVITY_SEQ_RARITY × SEC_AMOUNT_COMBINED,1,1.0638297872340425,0.1518,0.1518
LIMIT_UTILIZATION_VELOCITY × DAYS_AMOUNT_COMBINED,1,1.0638297872340425,0.1633,0.1633
STRUCTURING_OVERPAYMENT_FLAG × TRANS_AMOUNT_VS_30D_AVG_RATIO,1,1.0638297872340425,0.4196,0.4196
VELOCITY_RATIO_AMOUNT_7D_VS_30D × DAYS_AMOUNT_COMBINED,1,1.0638297872340425,0.1993,0.1993
HOURS_SINCE_SEC_EVENT × TRANS_AMOUNT_VS_30D_AVG_RATIO,1,1.0638297872340425,0.1268,0.1268
LIMIT_UTILIZATION_VELOCITY × STRUCTURING_OVERPAYMENT_FLAG,1,1.0638297872340425,0.3162,0.3162
IP_HOPPING_VELOCITY × DAYS_AMOUNT_COMBINED,1,1.0638297872340425,0.0925,0.0925
BALANCE_COVERAGE_RATIO × VELOCITY_RATIO_AMOUNT_24H_VS_7D,1,1.0638297872340425,0.1271,0.1271
VELOCITY_RATIO_AMOUNT_24H_VS_7D × TRANS_AMOUNT_VS_30D_AVG_RATIO,1,1.0638297872340425,0.1077,0.1077
