CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,IP_Address_Proxy,Device_ID_Hash,ts_dt,tx_id,prev_ip,prev_ts,is_ip_changed,time_diff_hours,IS_IMPOSSIBLE_TRAVEL,ip_cum_count,cum_tx_count,IS_NEW_LOCATION,IS_NEW_LOCATION_HIGH_VALUE,risk_score
368360,2019-09-09,14,200590000.0,35.114.XX.XX (HP),f78dec565c2df621,2019-09-09 14:00:00,959517,60.52.XX.XX (DN),2019-09-09 14:00:00,1,0.0,1,0,10,1,1,4.0
146404,2019-07-31,13,140000000.0,254.107.XX.XX (HCM),4e5d139a90d365bd,2019-07-31 13:00:00,62699,203.182.XX.XX (DN),2019-07-31 13:00:00,1,0.0,1,0,81,1,1,4.0
146404,2019-08-07,11,120000000.0,95.230.XX.XX (HCM),4e5d139a90d365bd,2019-08-07 11:00:00,62672,35.160.XX.XX (HCM),2019-08-07 11:00:00,1,0.0,1,0,86,1,1,4.0
116603,2019-09-30,9,70000000.0,33.135.XX.XX (HN),d1e4d3f68c24f09b,2019-09-30 09:00:00,66828,117.184.XX.XX (HN),2019-09-30 09:00:00,1,0.0,1,0,372,1,1,4.0
167863,2019-03-30,10,306000000.0,161.31.XX.XX (HN),6c73980978fc316e,2019-03-30 10:00:00,1403786,141.12.XX.XX (HN),2019-03-30 10:00:00,1,0.0,1,0,2,1,1,4.0
282717,2019-04-23,15,135000000.0,245.251.XX.XX (HCM),63db0fc3836c615a,2019-04-23 15:00:00,288455,58.232.XX.XX (HCM),2019-04-23 15:00:00,1,0.0,1,0,9,1,1,4.0
62461,2019-09-30,17,48680000.0,73.40.XX.XX (HCM),e0b101f34343be94,2019-09-30 17:00:00,905731,157.46.XX.XX (HCM),2019-09-30 17:00:00,1,0.0,1,0,572,1,1,4.0
240878,2019-06-06,14,256000000.0,81.212.XX.XX (HN),7c4e35ea69c420e6,2019-06-06 14:00:00,282281,124.168.XX.XX (HN),2019-06-06 14:00:00,1,0.0,1,0,71,1,1,4.0
255269,2019-11-11,14,180000000.0,72.203.XX.XX (HN),0681d023341b54f2,2019-11-11 14:00:00,391642,227.238.XX.XX (HN),2019-11-11 14:00:00,1,0.0,1,0,70,1,1,4.0
409866,2019-11-20,16,45000000.0,41.41.XX.XX (HN),947dfc8a9fe82e92,2019-11-20 16:00:00,761161,81.104.XX.XX (HN),2019-11-20 16:00:00,1,0.0,1,0,129,1,1,4.0
74237,2019-11-20,16,510013503.0,200.190.XX.XX (NA),2a7b216061aba968,2019-11-20 16:00:00,1311897,100.196.XX.XX (NA),2019-11-20 16:00:00,1,0.0,1,0,1,1,1,4.0
