CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,TRANS_LV1,TRANS_LV2,IP_Address_Proxy,Device_ID_Hash,ts_dt,SUM_1H,COUNT_1H,SUM_3H,COUNT_3H,SUM_24H,COUNT_24H,SUM_48H,COUNT_48H,SUM_7D,COUNT_7D,SUM_30D,COUNT_30D,VELOCITY_RATIO_AMOUNT_1H_VS_24H,VELOCITY_RATIO_AMOUNT_24H_VS_7D,VELOCITY_RATIO_AMOUNT_7D_VS_30D,VELOCITY_RATIO_COUNT_1H_VS_24H,VELOCITY_RATIO_COUNT_24H_VS_7D,VELOCITY_RATIO_COUNT_7D_VS_30D,HIST_AVG_30D_TRANS_AMOUNT,TRANS_AMOUNT_VS_30D_AVG_RATIO
878039,2019-11-28,14,50000000.0,Transfer,Within_bank,42.2.xx.xx (HCM),92eb8a7a57c6e767,2019-11-28 14:00:00,1910000000.0,2.0,1910000000.0,2.0,1910000000.0,2.0,1910914000.0,3.0,3992641423.0,11.0,8230102757.0,35.0,0.9999999999999948,0.47838004910665255,0.48512655806200106,0.9999950000249999,0.1818180165290759,0.31428562448982156,235145725.87264973,0.212634100894
186564,2019-10-29,8,1000000000.0,Transfer,Within_bank,71.11.xx.xx (CT),1900b5d1c8fa286c,2019-10-29 08:00:00,1500000000.0,2.0,1500000000.0,2.0,1500000000.0,2.0,1500000000.0,2.0,3747574992.0,9.0,10585784992.0,32.0,0.9999999999999933,0.4002588349004534,0.35401956442834925,0.9999950000249999,0.22222197530891633,0.2812499121094024,330805677.6232257,3.02292272365086
919866,2019-12-10,17,1000000000.0,Transfer,Within_bank,39.182.xx.xx (HCM),f1ae934ae46b480d,2019-12-10 17:00:00,1450000000.0,2.0,1450000000.0,2.0,1680000000.0,4.0,3467104000.0,9.0,6065204000.0,24.0,12982962044.0,81.0,0.8630952380952329,0.27698985887366645,0.46716642777238915,0.49999875000312505,0.16666659722225116,0.29629625971651113,160283462.2366096,6.238946838593633
59360,2019-10-17,16,250000000.0,Transfer,Within_bank,114.239.xx.xx (HCM),a11b86c25ce5ec64,2019-10-17 16:00:00,1250000000.0,2.0,1250000000.0,2.0,1250000000.0,2.0,1250050000.0,3.0,1319493000.0,6.0,1515904000.0,15.0,0.999999999999992,0.9473335591776466,0.8704330881111147,0.9999950000249999,0.33333277777870374,0.39999973333351113,101060199.29320048,2.473773075339618
831590,2019-12-03,11,600000000.0,Transfer,Within_bank,65.4.xx.xx (BD),1acd9a84630da711,2019-12-03 11:00:00,1200000000.0,2.0,1200000000.0,2.0,1210000000.0,3.0,1790000000.0,5.0,2987125000.0,14.0,6659361471.0,39.0,0.9917355371900745,0.4050717663305004,0.4485602730844757,0.6666644444518518,0.21428556122459913,0.3589742669296751,170752814.4479963,3.5138513056995504
132710,2019-12-27,11,20000000.0,Transfer,Within_bank,233.201.xx.xx (DN),d3bfd711db3fec99,2019-12-27 11:00:00,1020000000.0,2.0,1020000000.0,2.0,1020000000.0,2.0,1020000000.0,2.0,2282500000.0,8.0,6568893233.0,35.0,0.9999999999999902,0.44687842278203527,0.34747101513744405,0.9999950000249999,0.24999968750039064,0.22857136326532476,187682610.1763971,0.10656288284354928
744209,2019-08-09,17,100000000.0,Transfer,Within_bank,31.139.xx.xx (HCM),8c7a0448c48ccc4e,2019-08-09 17:00:00,1000000000.0,2.0,1000000000.0,2.0,1000000000.0,2.0,1000000000.0,2.0,1000000000.0,2.0,1000000000.0,2.0,0.99999999999999,0.99999999999999,0.99999999999999,0.9999950000249999,0.9999950000249999,0.9999950000249999,499997500.0124999,0.200000999999996
337812,2019-10-10,10,900000000.0,Transfer,Within_bank,76.142.xx.xx (BD),a949dbb911375b45,2019-10-10 10:00:00,1000000000.0,2.0,1000000000.0,2.0,1000000000.0,2.0,1000000000.0,2.0,1001000000.0,3.0,1491640000.0,9.0,0.99999999999999,0.999000999000989,0.6710734493577494,0.9999950000249999,0.6666644444518518,0.3333329629633745,165737593.624896,5.430270708749772
22702,2019-11-18,8,743992000.0,Transfer,Outside_bank,15.226.xx.xx (HN),a6a7b107a67d30f5,2019-11-18 08:00:00,992798000.0,2.0,992798000.0,2.0,993598000.0,3.0,1120962000.0,5.0,1169663000.0,9.0,1677205000.0,20.0,0.9991948454002424,0.8494737373072342,0.6973882143208451,0.6666644444518518,0.3333329629633745,0.4499997750001125,83860208.06989597,8.871811996695827
198809,2019-09-30,16,750000000.0,Transfer,Within_bank,201.23.xx.xx (HCM),c543611de87301f7,2019-09-30 16:00:00,980050000.0,3.0,980050000.0,3.0,980050000.0,3.0,980050000.0,3.0,1457350000.0,12.0,3901894457.0,37.0,0.9999999999999898,0.6724877345867453,0.37349805743348846,0.9999966666777778,0.24999979166684028,0.3243242366691252,105456578.44416797,7.111931859205943
113327,2019-07-19,16,364000000.0,Transfer,Within_bank,194.139.xx.xx (DN),b26cbe0cb7aae7ee,2019-07-19 16:00:00,964000000.0,2.0,964000000.0,2.0,964000000.0,2.0,964000000.0,2.0,964000000.0,2.0,998195000.0,15.0,0.9999999999999896,0.9999999999999896,0.9657431664153701,0.9999950000249999,0.9999950000249999,0.1333332444445037,66546288.969140686,5.469876767564634
704129,2019-11-30,9,948065973.0,Transfer,Within_bank,203.75.xx.xx (HCM),2d1edf2c56501bb4,2019-11-30 09:00:00,958065973.0,2.0,958065973.0,2.0,958065973.0,2.0,958065973.0,2.0,1011065973.0,3.0,3134998850.0,18.0,0.9999999999999896,0.9475800774476173,0.3225092006014601,0.9999950000249999,0.6666644444518518,0.16666657407412552,174166506.01860777,5.443446014233386
453109,2019-12-18,19,250000000.0,Transfer,Outside_bank,143.249.xx.xx (HN),6bfd5e2a83c52358,2019-12-18 19:00:00,950000000.0,2.0,950000000.0,2.0,1075180000.0,5.0,1422380000.0,9.0,2498126000.0,22.0,9433996446.0,99.0,0.8835729831283982,0.43039462381000626,0.2648003965550781,0.39999920000160005,0.2272726239669891,0.22222219977553537,95292883.76839557,2.6234907593686203
116603,2019-09-09,11,900000000.0,Transfer,Outside_bank,171.164.xx.xx (HN),d1e4d3f68c24f09b,2019-09-09 11:00:00,950000000.0,2.0,950497238.0,3.0,955602238.0,5.0,956479476.0,7.0,1049169477.0,18.0,3308510699.0,68.0,0.9941374791966425,0.9108178029849326,0.31711231198892875,0.39999920000160005,0.27777762345687584,0.26470584342561126,48654561.947858535,18.49775157701173
329194,2019-12-13,10,49000000.0,Transfer,Within_bank,15.3.xx.xx (HCM),dedea11eea3aebab,2019-12-13 10:00:00,949000000.0,2.0,949000000.0,2.0,949000000.0,2.0,1149000000.0,3.0,1149000000.0,3.0,2224000000.0,6.0,0.9999999999999895,0.8259355961705759,0.5166366906474796,0.9999950000249999,0.6666644444518518,0.4999991666680556,370666048.88991857,0.13219446492805398
